"year","dens_model","fg","dbh","variable","q025","q05","q25","q50","q75","q95","q975","prod_model"
1995,1,"fg1",6.30172398530825,"density",278.452352577864,278.611901288881,279.076225751849,279.370993508687,279.668564059514,279.999585341699,280.092237684375,NA
1995,1,"fg1",6.67486494292836,"density",253.431613065586,253.608051830449,254.125463677493,254.457420055297,254.795799161761,255.176800436091,255.284444461842,NA
1995,1,"fg1",7.07010051697063,"density",230.659148347705,230.848157080519,231.405420204889,231.765573827144,232.135132844842,232.554628255388,232.673879586885,NA
1995,1,"fg1",7.48873898535221,"density",209.932936435678,210.130834738248,210.716658320234,211.097327009579,211.489828632075,211.937978023778,212.065934358597,NA
1995,1,"fg1",7.93216609242261,"density",191.069108319394,191.272775430445,191.877571641722,192.272220307515,192.680647115665,193.149054335226,193.283236585196,NA
1995,1,"fg1",8.4018496359464,"density",173.900316805,174.107120768065,174.722790274949,175.125887313132,175.544289827286,176.025823868183,176.164123944959,NA
1995,1,"fg1",8.89934432569262,"density",158.274251923172,158.481986963008,159.101729192542,159.508619384336,159.931981505481,160.420618030549,160.561252561691,NA
1995,1,"fg1",9.42629692971367,"density",144.052289737517,144.259120942001,144.877266395661,145.284058503611,145.708178451351,146.198859484248,146.340328818798,NA
1995,1,"fg1",9.98445172534819,"density",131.10826256626,131.312677066681,131.924539254243,132.328006704282,132.749391758668,133.237901567148,133.378953496685,NA
1995,1,"fg1",10.5756562729917,"density",119.327339707441,119.528103636175,120.129848460238,120.527341669037,120.943115201872,121.425970603621,121.565568285007,NA
1995,1,"fg1",11.2018675317465,"density",108.605008738172,108.801129319795,109.389659972723,109.779029032522,110.18684847404,110.661201982387,110.798495602419,NA
1995,1,"fg1",11.865158337195,"density",98.8461483507191,99.0368405517014,99.6096961939373,99.9892227642126,100.387207294735,100.850761688881,100.985063459569,NA
1995,1,"fg1",12.5677242627381,"density",89.9641845002527,90.1488417241907,90.7041083985691,91.0724457767774,91.4591126618031,91.9100457163515,92.0408078330548,NA
1995,1,"fg1",13.3118908872106,"density",81.8803223781523,82.0584907489133,82.5947231518627,82.9508436056461,83.3250522083526,83.7619504515182,83.8887456851832,NA
1995,1,"fg1",14.1001214928303,"density",74.5228473974702,74.6942032221671,75.2103561015817,75.553504643477,75.9144072521107,76.3362077426807,76.4587123724315,NA
1995,1,"fg1",14.9350252189632,"density",67.826488989356,67.9908190374368,68.4861871202868,68.8158409943348,69.1628396947074,69.5687789159899,69.6867577396991,NA
1995,1,"fg1",15.8193656986918,"density",61.7318415664752,61.8890258408927,62.3631913129088,62.6790245416705,63.0117334480387,63.4013025139567,63.5145957025404,NA
1995,1,"fg1",16.7560702067779,"density",56.1848375166,56.3348342285125,56.7876208949942,57.0894733062823,57.4076855382585,57.7805909935614,57.8891025799479,NA
1995,1,"fg1",17.7482393492988,"density",51.1362675511221,51.2791000413053,51.710533393535,51.9983836095283,52.3020424692381,52.6581720435527,52.7618598598418,NA
1995,1,"fg1",18.7991573270313,"density",46.5413441533469,46.6770895318511,47.0873620289246,47.3613039569977,47.6504778202735,47.9898705653154,48.0887374618593,NA
1995,1,"fg1",19.9123028065563,"density",42.3593042537724,42.4880835546942,42.8775245068389,43.1377469221209,43.4126074108075,43.7354277123587,43.8295139105946,NA
1995,1,"fg1",21.0913604350691,"density",38.5530476075568,38.6750172784205,39.0440667860145,39.2908356409824,39.5516386910831,39.8581537030743,39.9475301501262,NA
1995,1,"fg1",22.3402330370112,"density",35.0888076661027,35.2041522315475,35.5533386949058,35.7869818318003,36.0340513147931,36.3246114126601,36.4093740202216,NA
1995,1,"fg1",23.6630545328941,"density",31.935852022952,32.0447777804488,32.3746985497798,32.5955925277852,32.8293061205047,33.1043280155497,33.1845926785108,NA
1995,1,"fg1",25.0642036230806,"density",29.0662097765482,29.1689393979545,29.4802441813796,29.6888029627949,29.9095799952798,30.1695321915867,30.245430493453,NA
1995,1,"fg1",26.5483182818163,"density",26.4544233912133,26.5511913183144,26.8445680091029,27.0412332775462,27.2495243186183,27.4949146296418,27.5665901521442,NA
1995,1,"fg1",28.1203111094894,"density",24.0773228550161,24.1683713899857,24.4445340127311,24.6297669221305,24.8260448895693,25.0574097632881,25.1250149268279,NA
1995,1,"fg1",29.7853855939374,"density",21.913820131012,21.9993961341158,22.2590746439633,22.4333488200114,22.6181014263728,22.8359968562489,22.8996902260783,NA
1995,1,"fg1",31.5490533346251,"density",19.9447220783645,20.0250741953718,20.2690058950391,20.4328015312289,20.6065248979162,20.8115187222044,20.8714627226129,NA
1995,1,"fg1",33.4171522867112,"density",18.1525601837105,18.2279365345076,18.4568589011201,18.6106578096881,18.7738511011064,18.9665165156191,19.0228755009691,NA
