"year","variable","model","fg","parameter","mean","se_mean","sd","q025","q25","q50","q75","q975","n_eff","Rhat"
1995,"diameter growth individual",1,"fg4","sigma",0.684166051,0.000138640464063273,0.00575046512908297,0.673200025,0.68022175,0.68425,0.688012,0.695161725,1720.38616605724,1.0004694877162
1995,"diameter growth individual",2,"fg4","beta0",0.0368718402,0.000136060844948122,0.00362723376080393,0.0296244475,0.034553275,0.0369669,0.039280025,0.043778205,710.697459192679,1.0062795033259
1995,"diameter growth individual",2,"fg4","beta1_low",4.22721872,0.133905795694289,3.47709286945694,1.5793965,2.37459,3.202595,4.8017225,13.0060625,674.26999151318,1.00416070583715
1995,"diameter growth individual",2,"fg4","beta1_high",0.505993073333333,0.0009609356916175,0.0315242981244103,0.44104145,0.486206,0.507494,0.52749625,0.5641904,1076.22283596562,1.00349974071034
1995,"diameter growth individual",2,"fg4","x0",1.206022828,0.00879366450716058,0.232390965429832,0.7416596,1.0480525,1.21538,1.367605,1.6360115,698.391098305559,1.00687207709968
1995,"diameter growth individual",2,"fg4","delta",0.1789368644,0.00184897055465671,0.054621297624813,0.0779188925,0.14029675,0.1767185,0.215159,0.296567625,872.69811275397,1.00493325280529
1995,"diameter growth individual",2,"fg4","sigma",0.678670163333333,0.00013043811376102,0.00522880300351863,0.668940975,0.6751835,0.678651,0.682068,0.68950655,1606.92475091934,1.00182463994031
1995,"diameter growth individual",1,"fg5","beta0",0.0315127485666667,1.40983982685712e-05,0.000536047532653309,0.0305014175,0.031156675,0.03150585,0.031870175,0.0325821275,1445.66295686216,0.999816312412952
1995,"diameter growth individual",1,"fg5","beta1",0.686479884,0.000273935766780895,0.0104377372045475,0.6660716,0.67945425,0.6865465,0.69358525,0.706555625,1451.82822779914,0.9997334449467
1995,"diameter growth individual",1,"fg5","sigma",0.888854344666667,0.000138023839420445,0.00599921109461826,0.877196725,0.884842,0.888716,0.8929155,0.901252125,1889.20932006194,1.00017735394199
1995,"diameter growth individual",2,"fg5","beta0",0.0451267622,0.000204423704390436,0.00594649123619679,0.033764825,0.0412859,0.0451023,0.048787775,0.0570296925,846.17279518131,0.999654057889944
1995,"diameter growth individual",2,"fg5","beta1_low",3.29872678,0.0885394131095504,2.2264134660469,1.42075,2.05793,2.688395,3.7484925,9.0024145,632.322102134137,1.00266361220552
1995,"diameter growth individual",2,"fg5","beta1_high",0.608698939666667,0.000553456979257983,0.0203269309412215,0.5666696,0.59626275,0.609468,0.62285925,0.645470075,1348.88798597765,1.00029876613201
1995,"diameter growth individual",2,"fg5","x0",1.39640484233333,0.0102539229101315,0.295600478076465,0.83854705,1.19902,1.38985,1.5995025,1.98701875,831.055768036541,0.999436555759591
1995,"diameter growth individual",2,"fg5","delta",0.197067995636667,0.00219480389900386,0.0693643366957566,0.052304745,0.1521845,0.1983655,0.241052,0.333417025,998.80573929909,1.00022764196281
1995,"diameter growth individual",2,"fg5","sigma",0.884578454,0.000140033741342638,0.00593610945847966,0.873179775,0.88044975,0.8846005,0.88869125,0.8962115,1796.96002759859,1.00011890369751
1995,"diameter growth individual",1,"alltree","beta0",0.0288929117333333,3.96545751495575e-06,0.000130456663133705,0.0286357875,0.028802525,0.02889275,0.028986725,0.0291406275,1082.29569002222,1.00076760336527
1995,"diameter growth individual",1,"alltree","beta1",0.682546814,8.73129467055581e-05,0.00291414426198565,0.67692095,0.6805895,0.6825985,0.6844755,0.6881842,1113.94770701005,1.0009534243235
1995,"diameter growth individual",1,"alltree","sigma",0.829000393333333,3.82152262911429e-05,0.00174268225783498,0.82560965,0.8278335,0.829022,0.83019475,0.832356125,2079.52213835246,1.00482165768432
1995,"diameter growth individual",2,"alltree","beta0",0.0374143325666667,6.60793619563511e-05,0.00160986636430473,0.03390544,0.0364789,0.0375892,0.038571025,0.0400951225,593.53723786779,1.01063559667374
1995,"diameter growth individual",2,"alltree","beta1_low",3.09347813666667,0.0403543841968066,0.873153664184406,2.128754,2.53549,2.88321,3.4042375,5.21450025,468.166045823238,1.01239584568439
1995,"diameter growth individual",2,"alltree","beta1_high",0.641967559666667,9.74200264409322e-05,0.00370465081426825,0.634604675,0.639557,0.6419665,0.64436925,0.649425,1446.09915555623,1.00130933161146
1995,"diameter growth individual",2,"alltree","x0",1.32103522666667,0.00370834550428881,0.0900713759524409,1.12640775,1.265495,1.330065,1.3868475,1.46984875,589.94729443714,1.01104485986197
1995,"diameter growth individual",2,"alltree","delta",0.1043539235,0.000696510796524467,0.0188954058213811,0.068304265,0.091484975,0.103709,0.11741075,0.1409006,735.964289689335,1.00967858824087
1995,"diameter growth individual",2,"alltree","sigma",0.826108201333333,4.19189562494533e-05,0.00172228253291166,0.822681,0.82496575,0.826098,0.82727525,0.829417275,1688.05997711213,1.00067883991892
1995,"diameter growth individual",1,"unclassified","beta0",0.0265650011,3.57003275244446e-05,0.00116432468079837,0.0244105175,0.02576885,0.0265227,0.02734585,0.028886455,1063.66239687719,1.00042553376782
1995,"diameter growth individual",1,"unclassified","beta1",0.521121784666667,0.000713057936619191,0.0238153706113947,0.4760698,0.50482675,0.5209755,0.5374515,0.566576,1115.48838465653,1.00076839421556
1995,"diameter growth individual",1,"unclassified","sigma",0.889185807666667,0.000305911135118313,0.0123935243058723,0.8657352,0.8807555,0.8891055,0.89724225,0.91340805,1641.34196939739,1.00195033559207
1995,"diameter growth individual",2,"unclassified","beta0",0.141858309633333,0.002561710467781,0.0675819932684548,0.049276075,0.095413825,0.131736,0.1723215,0.31856965,695.988249914578,1.00461539694879
1995,"diameter growth individual",2,"unclassified","beta1_low",0.525443804666667,0.00862581095197256,0.16069955224698,0.427814625,0.49516425,0.515082,0.53455875,0.577958275,347.079898719208,1.00588610774913
1995,"diameter growth individual",2,"unclassified","beta1_high",0.865095016166667,0.022554633188289,0.579730632560385,0.426266,0.6279965,0.754644,0.94704225,1.81430775,660.66448407959,1.00665590423659
1995,"diameter growth individual",2,"unclassified","x0",29.7190334126667,1.11835236870873,30.2136100169467,3.3089395,12.132575,22.0449,36.4304,112.9441,729.874035927815,1.00517237258801
1995,"diameter growth individual",2,"unclassified","delta",0.1040305912084,0.00246791194257905,0.105490316166936,0.002064693,0.03063165,0.0713489,0.14348625,0.3970621,1827.11493977916,1.00093525924514
1995,"diameter growth individual",2,"unclassified","sigma",0.889251632333333,0.000316939247511935,0.0127776393283771,0.864331825,0.8803595,0.88927,0.897865,0.914708775,1625.35864494517,1.00083070759182
