year,model,fg,parameter,mean,se_mean,sd,q025,q25,q50,q75,q975,n_eff,Rhat
1995,3 segment,small breeder,beta_low,-1.0762123912405601,0.005841130300964517,0.16280475084713716,-1.453002720994461,-1.1748073302726207,-1.0431924478260515,-0.9561306904275668,-0.8324459453270957,776.8557047146417,1.0052166062213714
1995,3 segment,small breeder,beta_mid,-0.721085879201737,0.005647897356506179,0.16845774100581742,-0.9832242322292077,-0.8400809948956036,-0.7512703456909549,-0.623510023376892,-0.3339350579369274,889.6278178168201,1.0046731808413851
1995,3 segment,small breeder,beta_high,-5.219977327805603,0.02788696599490515,0.9620970789856963,-7.8620897479416,-5.619905686858557,-5.06470422130587,-4.608286701365127,-3.800533525626461,1190.2419639705354,1.0014418077537497
1995,3 segment,small breeder,tau_low,2.371029917438599,0.002847402626615003,0.08635095485229466,1.656433677895047,2.07823845340057,2.361049579487512,2.677803749209326,3.5044738031074947,919.6795421443685,1.0026427894830774
1995,3 segment,small breeder,tau_high,21.09430457491304,4.111604073046392e-4,0.01582590618398978,19.83732623055912,20.61636021304554,20.974168854193902,21.501550889305406,23.02242490274969,1481.5441520543336,1.001480439477966
1995,3 segment,medium,alpha,2.1448300857142106,5.682812877735326e-4,0.029258086126306686,2.0849216065202354,2.125929829825887,2.145620279626417,2.164039048816565,2.2017041740636616,2650.7276978687705,1.0023881989237873
1995,3 segment,medium,beta_low,-0.9854136103957455,0.001332235702367337,0.04659216202698744,-1.0700932362627684,-1.0166820203100728,-0.987440528143287,-0.9553734491197277,-0.8918761986377602,1223.1045761137698,1.0053642059945007
1995,3 segment,medium,beta_mid,-1.177282189777897,0.009035543108762532,0.12352714987307968,-1.370309338850519,-1.2503178538243416,-1.1878025135320551,-1.1196559771895782,-0.9475435306537989,186.90301951259175,1.0125929433074385
1995,3 segment,medium,beta_high,-3.290359191866068,0.05060213904278862,1.4615810839067223,-7.005192278633601,-4.005857312308479,-3.021326882781254,-2.284310532887633,-1.1442748701262266,834.2727839226878,1.0042054141665708
1995,3 segment,medium,tau_low,14.69274808757089,0.004696737497111746,0.06732906506069292,11.108784552454658,13.826263982404571,14.834348899970776,15.99491239179111,18.208613838531402,205.50036227051774,1.0164226569667347
1995,3 segment,medium,tau_high,92.55191719945319,0.007283692557163355,0.07705778984968745,67.67200159199443,88.51366547680666,96.0703442270925,101.45410664504922,108.5749339060384,111.92571695226457,1.0231885484901193
