ratio,dbh,q025,q05,q25,q50,q75,q95,q975
fast:tall,94.116406643524,0.20454982585101725,0.21257657034855154,0.23333864575127505,0.24887934429804642,0.26773001997437673,0.3023761390762082,0.3136334301684959
fast:tall,99.68927625580851,0.1967115904561917,0.203543263925559,0.2227515305092762,0.23713106526697864,0.25321330964065025,0.2809407473002886,0.29105392746689174
fast:tall,105.59212952156116,0.18789395105537743,0.19453901523856407,0.21265821015224712,0.22555482613381211,0.24016672596736938,0.26321559651951315,0.2717380391673616
fast:tall,111.84450560446815,0.18115311400838197,0.18581482975652477,0.20300076385205582,0.21468614140657827,0.22748330748827134,0.2476056798223409,0.25516517152603563
fast:tall,118.46710063133654,0.17329508408134206,0.17759578088619596,0.19348763515808276,0.20415386948067313,0.21565855276994467,0.2340262687741138,0.24037146147827115
fast:tall,125.48183619879632,0.16510963803859463,0.16891133887683066,0.18390496181154148,0.1940498000315969,0.2049112724960429,0.22208087737140822,0.22827323340704153
fast:tall,132.91193193645643,0.1561225007504055,0.16052828969032854,0.17420630578146212,0.18420981268429443,0.19486918480913992,0.21194977822069097,0.21781323837609187
fast:tall,140.78198236670914,0.1469781231026927,0.1513105612695583,0.1650687469766549,0.17523427038702882,0.18559658415730607,0.20333613497563832,0.20930735140725176
fast:tall,149.11803831559604,0.13792471800426961,0.14172353374452024,0.15620031503452544,0.16642254403344447,0.17692511348866613,0.19522214450425296,0.2007086633980909
fast:tall,157.94769314421717,0.12851848292276954,0.13279640628742745,0.14758663094855767,0.15825688657609066,0.16905506146144605,0.18759724534847133,0.19345607085914074
fast:tall,167.30017408611903,0.11887718159217504,0.12421270753259586,0.1393057556977298,0.15047505168251568,0.161859586731651,0.18070761856990109,0.1877575702259804
fast:tall,177.20643899299958,0.11024511492033985,0.11559453293164867,0.13174002855427636,0.1432401193524813,0.15512247718585026,0.17432293924774586,0.18134181589147924
fast:tall,187.69927880897004,0.10161259710705303,0.10739565131600773,0.12427863546065114,0.13644043630178562,0.14854549959229812,0.1680739007478863,0.17514723563804815
fast:tall,198.81342611257622,0.09419389706806963,0.09960808952444218,0.11725871564543004,0.1298095725269484,0.14219901252337863,0.16236801642265314,0.16979399047953922
fast:tall,210.58567008586633,0.08643061495071859,0.09231365380159441,0.11058489367828088,0.12357431693145593,0.13603007421188587,0.15688024783119156,0.16486794747557093
fast:tall,223.054978291067,0.07962891403414092,0.08543593419649348,0.10449556849412561,0.11759799927445788,0.13020901477881153,0.15178190599539954,0.16003227145152904
fast:tall,236.26262565796313,0.07294939546237846,0.07943323596376296,0.09860857206207413,0.11186869708494748,0.12477668126987512,0.1468682215881442,0.1557330463149147
fast:tall,250.25233110894604,0.06668887931776311,0.07368548652697673,0.0932083717902577,0.10644094484743884,0.11961367029646933,0.14253536594882463,0.1512954725108024
fast:tall,265.07040227397357,0.061145171045962586,0.06846693260054808,0.08796810502879218,0.10124588584896574,0.11471926366847704,0.13805921148290065,0.14723769322891997
fast:tall,280.7658887744699,0.0564777819341803,0.06329270677708915,0.08321523991162447,0.09635066157745789,0.10996912341449624,0.13360423795353607,0.14314718910741284
fast:tall,297.3907445835496,0.05178172503848957,0.05853288225132267,0.07842485833555184,0.0916994475823308,0.10540906668495513,0.12913061475257007,0.13878062119333873
fast:tall,315,0.04758421088586602,0.0542219558098678,0.07395143670018936,0.08734399072650806,0.10102235072096913,0.12557488826160348,0.13526800275683112
fast:slow,1,0.5279910828286153,0.546807863984021,0.6035165331609637,0.6459134375855833,0.6904668010815617,0.75756024484356,0.7824691475453218
fast:slow,1.0592125200167528,0.5332759160499371,0.5526982580981421,0.6070480634301252,0.6486122861916546,0.6913063766691928,0.7554268221096778,0.7807253477978526
fast:slow,1.12193116256024,0.5388152398709691,0.5587021051847186,0.6112377800526696,0.651150486632853,0.6918480814445898,0.7543085502450342,0.778588486874263
fast:slow,1.188363533980757,0.5454254168309188,0.5646876171651365,0.615365401462706,0.6534297814522515,0.6931310038575792,0.752574281518906,0.7758581068139714
fast:slow,1.2587295335237716,0.553562371615473,0.5707550833308502,0.6194775287991549,0.6559532759968265,0.6942413302355213,0.7514986495878411,0.7725223444636651
fast:slow,1.3332620812232259,0.5598335566006881,0.5761799917169392,0.623278721196039,0.6580318323031182,0.6953424401240937,0.7500928007855676,0.7696416794626747
fast:slow,1.4122078888952336,0.5674166900292161,0.5814117402040194,0.6276472890642537,0.6607514052921188,0.6965955342842133,0.7494147365082631,0.7661551808141094
fast:slow,1.4958282767842588,0.5727697213546391,0.5868050472089057,0.6315628921459153,0.6632944104396103,0.6971384207118669,0.7491035209536193,0.7639241962057272
fast:slow,1.5844000385649717,0.5791821616188986,0.5925241961145771,0.635608673412528,0.6660083513106763,0.6976359049443546,0.7474298420605726,0.7621970726386471
fast:slow,1.678216357563044,0.5847318593582154,0.5972989562682979,0.6394398315884458,0.6686353272627916,0.6989902096661542,0.7476873530442293,0.7619161393872562
fast:slow,1.7775877772276876,0.5905788951149286,0.6029532489448073,0.6432335243898568,0.6712478415348144,0.7002240277475311,0.7462860426039364,0.7610260021302429
fast:slow,1.8828432290683172,0.5962198286104846,0.6080662649148733,0.6466574798270891,0.6738707144433703,0.7019947687109648,0.745452426540934,0.7610734361647684
fast:slow,1.9943311214579325,0.6015065717656575,0.6130380893091787,0.650008527328166,0.6767688126066347,0.7038687219759014,0.7460010118837712,0.7618953561236416
fast:slow,2.1124204929072934,0.6055756294348449,0.6174146985714709,0.6536122568060799,0.6793091921204304,0.7064443001651584,0.7468240514934972,0.7626157962243768
fast:slow,2.237502233627365,0.6104913056772563,0.6216911055210889,0.6572348827107705,0.6818054605313604,0.7087921799423752,0.7486637664105392,0.7631698443877103
fast:slow,2.3699903794235544,0.614833432465535,0.6257897180844234,0.6604652449121479,0.6847689103053314,0.7109780377472493,0.7504330225277153,0.7656027625103806
fast:slow,2.5103234822046834,0.6183349860842234,0.6284381249385098,0.6639678932906914,0.6868132440684158,0.7139118887423714,0.752482283257023,0.7688609678282087
fast:slow,2.658966061643253,0.621197966617639,0.6310846398794993,0.6660660931454366,0.6897711314630587,0.7162414276964931,0.7557236459705983,0.7710893513668258
fast:slow,2.8164101427921704,0.6234681786996844,0.633357380470061,0.6686654801672471,0.6927716302116349,0.7187626691954866,0.7587461736023761,0.7755811017909774
fast:slow,2.983176884747637,0.6257118343819142,0.635426799279422,0.6716015776517539,0.6956029842749587,0.7215431245655696,0.7632787156571599,0.7796570939233077
fast:slow,3.159818305749271,0.6267202203728925,0.6361695470964126,0.6737357516461744,0.6987431253959246,0.725251617578622,0.7683033056403837,0.7835463786089011
fast:slow,3.346919110427752,0.6274715938434251,0.6378758429340408,0.6756243125519481,0.7013436257336582,0.728420623696109,0.7737480777402791,0.7890444364954534
fast:slow,3.5450986252484076,0.6282571890417071,0.6382430580276488,0.6782121655025874,0.704369854451391,0.7323628478377612,0.7793364634781482,0.7931782798379959
