fg,light_per_area,q025,q05,q25,q50,q75,q95,q975
fg1,3.99416829216043,0.586599820417625,0.5899972356114295,0.5998697444368326,0.6070333727953594,0.6135341019249935,0.6237017422957649,0.6268352406732154
fg1,4.242045591994324,0.5793978329887937,0.5827904484317723,0.5924496248590843,0.5994646066824558,0.6058678715989185,0.6157402674938934,0.6187631885599143
fg1,4.505306108377591,0.5722252920119134,0.5755115808794227,0.584908175774333,0.5918655875434657,0.5981178594383004,0.6078471397038419,0.6106535206778105
fg1,4.784904520708318,0.5649465694721008,0.5682249805537302,0.5773943761840395,0.584260578763004,0.5902746544137429,0.5998268464677605,0.602658007923622
fg1,5.081854755600558,0.5576757943962317,0.5607660368512354,0.569802648146718,0.5765369547382119,0.5824654884059082,0.5918411753574581,0.5946008940569525
fg1,5.397233663754912,0.5502637999020598,0.553330913399228,0.56214639618861,0.5688170475249712,0.5746042652653588,0.5837408776073745,0.5864498997023403
fg1,5.732184925014995,0.5428274123554376,0.545875451739106,0.5545437387271496,0.5609944909789819,0.5667341135039252,0.5757007617163918,0.5782205124091213
fg1,6.087923195770913,0.5354875969851627,0.5384541372288199,0.546784725868168,0.5531779712305114,0.5587785047434072,0.5675459775141951,0.5698767350260635
fg1,6.4657385137498125,0.5280552147872599,0.5309781665866123,0.5391230902327031,0.5453314818858257,0.5508182756492078,0.5593632851829057,0.5615651264499711
fg1,6.8670009761668425,0.5206220674566286,0.5234869167996358,0.5313828687820831,0.537478266453408,0.5428484317315054,0.551135919991421,0.5533171254802123
fg1,7.293165708201268,0.5132149061787332,0.5160434030790249,0.523695252243406,0.5295880559758154,0.5348723848002802,0.5428457012948946,0.5450595039123186
fg1,7.745778139815223,0.5058328342630302,0.5084702103838692,0.5159391470758206,0.5216632088401765,0.5268290402838993,0.5346559685939474,0.5366394620908619
fg1,8.22647961005079,0.49843186370492154,0.5009347500502662,0.508219804523521,0.5137293238556431,0.5188057445908855,0.5265002362471655,0.5283165648764148
fg1,8.737013319128684,0.49087593959617265,0.49341361301031683,0.5004851329461137,0.5058501061291373,0.5106886296165555,0.5182558771338336,0.5199083983661835
fg1,9.27923064993298,0.48338023300519256,0.48576453549527876,0.4927898655332529,0.4979296156591144,0.5026654211919699,0.509916387653447,0.5116359349209054
fg1,9.855097881805973,0.4760146344611265,0.47828974293866994,0.48504787945103967,0.4900620896315441,0.49461464279169565,0.5016198187620395,0.5034528733394039
fg1,10.466703320999788,0.46850093439733775,0.47078993529535645,0.4773202934251567,0.4821411933139409,0.48659558896986177,0.49330255090087965,0.4950603584394495
fg1,11.116264873642468,0.46097147708053504,0.4632362512777942,0.46962923331465933,0.47424194881071785,0.4786262171792508,0.48499876155253074,0.48680948661672363
fg1,11.806138088680791,0.45357426718688687,0.45572831038366063,0.4619561296879203,0.46632453066418533,0.47063567670173034,0.476671407660221,0.4784524622298908
fg1,12.53882469996661,0.44604128236124085,0.44814417671739376,0.4542502215767877,0.45845164071803324,0.4626493994806724,0.4683747302137987,0.4703065242130913
fg1,13.316981698463316,0.43871315581064835,0.44055511016854015,0.4465845268454572,0.45058339535763225,0.45467438184389314,0.4601877191649791,0.4620570272033217
fg1,14.143430967471708,0.4312081731001625,0.43302800740782926,0.43886050878752814,0.44273974576810693,0.4467563091428412,0.4520309827529465,0.4538035774219138
fg1,15.021169515816064,0.4238644897468216,0.4254816056052419,0.431161913688734,0.43494150582841185,0.43884589749882963,0.44393787577725724,0.44566834002304684
fg1,15.953380346099763,0.41647961476912604,0.41801620983763765,0.4234979901719922,0.42719986403567056,0.43100924277658026,0.4358986900683535,0.43767676288646223
fg1,16.94344399744265,0.4090073458907496,0.41052891756664084,0.4159532399555754,0.4194890101011661,0.42313158498835496,0.4278901573299021,0.429600691517217
fg1,17.99495080455847,0.4016262159939109,0.40298850823901877,0.408342943896423,0.4118183885254919,0.41527960099461614,0.4198966993355956,0.4216691874747267
fg1,19.11171391762826,0.3942446585335243,0.3955851085217683,0.4008377832942749,0.4041911174265166,0.4075426790087965,0.41219257805774506,0.4138707958640949
fg1,20.29778313018444,0.38689513523223135,0.3882518255909639,0.39324183638902016,0.39657689763266357,0.3998620684284778,0.4043452778969006,0.40592298363051654
fg1,21.55745956515074,0.3795262456246291,0.38094437525986646,0.3857341765818229,0.3890357518379923,0.3921950998365491,0.3965934463870012,0.39804451621482984
fg1,22.895311272294897,0.3722525097569142,0.37364288922725647,0.3782849664173905,0.38159174335853524,0.3846068777357146,0.3890211542159019,0.39040268893359237
fg1,24.31618979365617,0.3650025686272375,0.3663173137493225,0.37091721864664173,0.374140810871868,0.37715612351312117,0.38160064260204224,0.38280570715800416
