year,model,fg,dbh,q025,q05,q25,q50,q75,q95,q975
1995,3 segment,all,2.237502233627365,306.4657637078337,309.71818751644594,319.06749155475484,325.65533836408713,332.16423051140913,342.63413680744276,346.4760608839796
1995,3 segment,all,2.3699903794235544,290.6942847364947,293.54671485645156,302.0664399069162,308.0548685394984,314.0158569036682,323.85182032829516,327.4975782928161
1995,3 segment,all,2.5103234822046834,275.3740104520127,278.12165609326706,285.9462127995637,291.53112897663436,297.04725505638555,306.100263134155,309.3174974051656
1995,3 segment,all,2.658966061643253,260.8922086572231,263.3769754042188,270.6744586081686,275.7736838486743,280.9404519849132,289.504949330571,292.40227253464496
1995,3 segment,all,2.8164101427921704,246.86392837937197,249.50694175481215,256.15275056361304,260.84119762109907,265.768431173245,273.63076162831493,276.36612834103767
1995,3 segment,all,2.983176884747637,233.86108439552225,236.15261823948128,242.3417452187902,246.73179951563753,251.3970418461402,258.7808404939989,261.6770674537459
1995,3 segment,all,3.159818305749271,221.4797275307351,223.4915170400361,229.30445667118136,233.3605256391877,237.7745534596932,245.0202473500027,247.95722693532764
1995,3 segment,all,3.346919110427752,209.67048972035968,211.50399289189025,216.8878867243048,220.73808789137652,224.97229924112264,231.9017284670479,234.73588423449152
1995,3 segment,all,3.5450986252484076,198.27587246951327,200.13192320121053,205.14808506251714,208.78187762438438,212.90386547706944,219.73163771947353,222.50381797920204
1995,3 segment,all,3.7550128485572913,187.6007647502995,189.33550285252784,193.99530681918662,197.49740152836821,201.44653501690846,208.02597277951816,210.84826021796516
1995,3 segment,all,3.977356622015655,177.46703654328496,178.89654875443543,183.47965091273846,186.80649819623582,190.63462987251185,197.25462631234936,200.17214197819112
1995,3 segment,all,4.212865930610521,167.70573563177453,169.11515671421972,173.50885351918936,176.6530516955659,180.44846252599544,187.10948249086942,189.80491843143844
1995,3 segment,all,4.462320338854692,158.46336491459056,159.77893745633577,164.01165273474754,167.01796264645145,170.7898753960293,177.315665044818,180.10323249531348
1995,3 segment,all,4.726545571240288,149.64820822243783,150.91185599732276,155.02864456764564,157.93772484610543,161.627579249421,168.3405543356816,170.84298155076652
1995,3 segment,all,5.006416245487449,141.30849943813254,142.54478274705139,146.53435952219883,149.39699171539468,153.02214728789502,159.57873867119633,162.15516042165757
1995,3 segment,all,5.30285876763557,133.4475260656834,134.69163086638466,138.50919344465416,141.31101229100346,144.78937859656048,151.32295030257492,154.0494841736535
