"fg","year","bin_midpoint","bin_value","bin_count","bin_min","bin_max"
"all",2000,27.6561096332728,4.99955028782572,1693,23.703840057551,31.6083792089945
"all",2000,36.8786153893889,2.84572934107816,1285,31.6083792089945,42.1488515697832
"all",2000,49.176557768712,1.39836014210823,842,42.1488515697832,56.2042639676407
"all",2000,65.5755051659368,0.632684417839711,508,56.2042639676407,74.9467463642328
"all",2000,87.4430231166713,0.212948582884982,228,74.9467463642328,99.9392998691097
"all",2000,116.602720366912,0.0588349887102748,84,99.9392998691097,133.266140864714
"all",2000,155.486325979643,0.016283005265337,31,133.266140864714,177.706511094572
"all",2000,207.336479719973,0.00393903056338091,10,177.706511094572,236.966448345373
"all",2000,276.47714711774,0.00118158732327049,4,236.966448345373,315.987845890107
"all",2005,1.16673541359231,1367.50315706361,19536,1,1.33347082718462
"all",2005,1.55580763706853,975.914842127943,18591,1.33347082718462,1.77814444695244
"all",2005,2.07462409674193,795.909787589976,20218,1.77814444695244,2.37110374653142
"all",2005,2.76645071037962,546.536203208063,18513,2.37110374653142,3.16179767422781
"all",2005,3.6889813171354,326.329322188716,14740,3.16179767422781,4.21616496004298
"all",2005,4.91914896842916,178.261702336733,10737,4.21616496004298,5.62213297681534
"all",2005,6.55954164397562,100.812809216634,8097,5.62213297681534,7.4969503111359
"all",2005,8.74695742194416,62.9501554375608,6742,7.4969503111359,9.99696453275241
"all",2005,11.6638125487886,36.2145469038098,5172,9.99696453275241,13.3306605648247
"all",2005,15.5533537675595,15.8369796255022,3016,13.3306605648247,17.7760469702942
"all",2005,20.7399435139226,8.50572334847811,2160,17.7760469702942,23.703840057551
"all",2005,27.6561096332728,4.76625762820479,1614,23.703840057551,31.6083792089945
"all",2005,36.8786153893889,2.75493175120719,1244,31.6083792089945,42.1488515697832
"all",2005,49.176557768712,1.41828926527367,854,42.1488515697832,56.2042639676407
"all",2005,65.5755051659368,0.650120602583325,522,56.2042639676407,74.9467463642328
"all",2005,87.4430231166713,0.218552492960902,234,74.9467463642328,99.9392998691097
"all",2005,116.602720366912,0.0560333225812141,80,99.9392998691097,133.266140864714
"all",2005,155.486325979643,0.016283005265337,31,133.266140864714,177.706511094572
"all",2005,207.336479719973,0.00512073973239518,13,177.706511094572,236.966448345373
"all",2005,276.47714711774,0.00118158732327049,4,236.966448345373,315.987845890107
"all",2010,1.16673541359231,1482.8617362426,21184,1,1.33347082718462
"all",2010,1.55580763706853,1053.02844027145,20060,1.33347082718462,1.77814444695244
"all",2010,2.07462409674193,871.453900874434,22137,1.77814444695244,2.37110374653142
"all",2010,2.76645071037962,584.766872637893,19808,2.37110374653142,3.16179767422781
"all",2010,3.6889813171354,349.265358673622,15776,3.16179767422781,4.21616496004298
"all",2010,4.91914896842916,190.946059287954,11501,4.21616496004298,5.62213297681534
"all",2010,6.55954164397562,97.3390814444413,7818,5.62213297681534,7.4969503111359
"all",2010,8.74695742194416,62.3992715498693,6683,7.4969503111359,9.99696453275241
"all",2010,11.6638125487886,35.5843633730011,5082,9.99696453275241,13.3306605648247
"all",2010,15.5533537675595,15.149100205429,2885,13.3306605648247,17.7760469702942
"all",2010,20.7399435139226,8.05681017175288,2046,17.7760469702942,23.703840057551
"all",2010,27.6561096332728,4.65108783421471,1575,23.703840057551,31.6083792089945
"all",2010,36.8786153893889,2.64420298307185,1194,31.6083792089945,42.1488515697832
"all",2010,49.176557768712,1.37178797788765,826,42.1488515697832,56.2042639676407
"all",2010,65.5755051659368,0.653856927885528,525,56.2042639676407,74.9467463642328
"all",2010,87.4430231166713,0.237232193213971,254,74.9467463642328,99.9392998691097
"all",2010,116.602720366912,0.063737904436131,91,99.9392998691097,133.266140864714
"all",2010,155.486325979643,0.0147072305622398,28,133.266140864714,177.706511094572
"all",2010,207.336479719973,0.00827196418309991,21,177.706511094572,236.966448345373
"all",2010,276.47714711774,0.00206777781572336,7,236.966448345373,315.987845890107
"fg1",1990,1.16673541359231,106.258691258321,1518,1,1.33347082718462
"fg1",1990,1.55580763706853,67.4022192078037,1284,1.33347082718462,1.77814444695244
"fg1",1990,2.07462409674193,53.6957636894217,1364,1.77814444695244,2.37110374653142
"fg1",1990,2.76645071037962,37.4040603610768,1267,2.37110374653142,3.16179767422781
"fg1",1990,3.6889813171354,27.2531475993426,1231,3.16179767422781,4.21616496004298
"fg1",1990,4.91914896842916,17.0508306137491,1027,4.21616496004298,5.62213297681534
"fg1",1990,6.55954164397562,9.79865145776097,787,5.62213297681534,7.4969503111359
"fg1",1990,8.74695742194416,7.46027502144929,799,7.4969503111359,9.99696453275241
"fg1",1990,11.6638125487886,4.45329695104854,636,9.99696453275241,13.3306605648247
"fg1",1990,15.5533537675595,2.63599594562404,502,13.3306605648247,17.7760469702942
"fg1",1990,20.7399435139226,1.54363127435344,392,17.7760469702942,23.703840057551
