"fg","dbh_bin","q025","q25","q50","q75","q975"
"fg1",1.51472572135904,3.38414564205254,7.91722961936984,11.5729425043031,16.1478060574482,38.2136890309056
"fg1",1.985692689134,4.2260040949829,9.1079475304624,13.4948029923824,19.1350457291366,47.6266274649111
"fg1",2.60309533275933,4.99997073719306,10.4971184267371,16.2522549970178,23.7307990701956,52.1513555270628
"fg1",3.41246424913243,6.3922751016548,14.1006068418856,21.1822449446992,30.9482207944496,65.2377631657282
"fg1",4.47348666222804,8.43216289144758,15.9180183903953,24.6917293142352,36.6197982130747,77.5846723122416
"fg1",5.86440808053007,9.46411841439447,21.8820528398151,33.0058649039692,49.8012543867485,121.634968086292
"fg1",7.68780254233678,17.0565118317031,31.7106980533072,48.4643079602586,71.7459765903053,137.102811547143
"fg1",10.0781369779126,19.3397656506929,40.6724170683722,64.591224229793,91.8941770332663,185.304952669082
"fg1",13.2116875253013,24.6039922049968,48.4643079602586,76.8326399473411,110.841214671178,228.609483014606
"fg1",17.3195390823467,35.0269518846395,75.9552688549571,114.622266283594,161.091599498075,279.855266235601
"fg1",22.7046267519177,61.1130745421279,112.219940673495,167.076523735409,227.719578049474,349.312766559938
"fg1",29.7640759083095,71.5788582869941,146.124066457763,197.032479603948,247.585766355597,330.288436706745
"fg1",39.0184883616633,96.4063712226696,184.206149824811,223.270053223812,276.497232828441,353.173199366428
"fg1",51.1503343399355,163.651643006924,253.978041457252,302.525908569166,363.356970974456,406.075542768996
"fg1",67.054281519984,195.895030652036,277.071701996073,316.856303078105,366.145757660963,411.589402288871
"fg1",87.9031726416461,199.419137873112,218.716079458581,275.348294493176,334.894634941761,390.477138133683
"fg1",115.234517249494,412.197295117165,412.197295117165,412.197295117165,412.197295117165,412.197295117165
"fg2",1.15546278812523,2.2560970947017,4.42863503774777,6.97718916324413,10.8417999273165,26.3357556230595
"fg2",1.51472572135904,2.63002429836059,5.38956528178738,8.35591516556183,12.6801012637401,28.5918527177612
"fg2",1.985692689134,3.76016182450282,7.56210322483346,11.384934413078,17.724985044948,41.7200399322545
