"fg","dbh_bin","q025","q25","q50","q75","q975","mean","sd","ci_min","ci_max"
"fgfg1",7.68780254233678,134.785135609964,305.72645686062,507.74450124372,837.616122480011,2103.55103093349,508.51423379495,2.05753811983662,478.491558933173,540.420663947763
"fgfg1",10.0781369779126,208.325275062645,490.010022931669,901.651852963285,1433.02520904635,2971.6621331881,848.670154643916,2.05928180784609,798.41728593017,902.085969424165
"fgfg1",13.2116875253013,377.010170381414,944.163646620623,1660.24700142926,2616.11104511436,4945.69692124558,1536.10425121757,2.0052493026765,1433.99018512065,1645.48983325864
"fgfg1",17.3195390823467,732.460940040053,2206.88675689421,3374.58154878376,5061.269229219,10043.5370626848,3221.79846395015,1.93319572658936,3017.00859058219,3440.48915694619
"fgfg1",22.7046267519177,2098.46689268452,4161.0642091342,6333.02286983123,9238.65424747548,15002.5663600264,6144.69734476467,1.72559600400019,5762.9931872418,6551.68316741128
"fgfg1",29.7640759083095,3363.66683730398,7612.32424528824,11543.246492067,15887.8766455502,25047.6523713942,10760.3324942979,1.70909733206009,10052.0281249018,11518.5467001442
"fgfg1",39.0184883616633,5078.23671801279,15376.9693733904,19402.7962856501,25834.7724149883,40000.6310329435,18880.7010286097,1.61303204071147,17524.3169184815,20342.0694221634
"fgfg1",51.1503343399355,15707.9877748431,31650.6331000334,41549.458138073,49312.0876660349,79676.7245608827,38290.5638107186,1.53568448406222,34813.4615895999,42114.9523775227
"fgfg1",67.054281519984,25200.2526903457,33723.8445347366,50391.4933122766,62927.5178765354,88295.2474414377,47775.5172687534,1.47202643274493,41400.8949240689,55131.6597016361
"fgfg1",87.9031726416461,40185.2045067874,46654.0801282474,66810.4656071893,88357.2509584812,126199.671251413,67026.2085675073,1.58548501723411,46353.7128299968,96918.0753958452
"fgfg1",115.234517249494,136167.357729689,136167.357729689,136167.357729689,136167.357729689,136167.357729689,136167.357729689,NA,NA,NA
"fgfg2",1.15546278812523,2.57756082253328,7.16191272520325,13.3001153230468,24.4347400516266,76.9327169697387,13.4285144862662,2.38745716949941,12.9762005969842,13.8965947667123
"fgfg2",1.51472572135904,14.9907136439157,30.7418879816603,47.1912120025191,71.6479715074742,150.184393152187,47.162885605106,1.86092492802585,44.6856395458639,49.7774632120309
"fgfg2",1.985692689134,20.4889867153623,42.3907319216106,60.3874848505828,88.0682828112656,214.053921190821,62.5036735847047,1.80908942762629,59.4525310837259,65.7114027001064
"fgfg2",2.60309533275933,28.0773365244251,57.128555025887,85.0746626162329,131.812276385583,261.390156521154,86.3158773375713,1.80942450822143,82.4130735207217,90.4035047143502
"fgfg2",3.41246424913243,44.6675227525009,89.4349881997327,131.932675340141,193.207567071365,475.989276004993,132.98443524437,1.82532090452451,126.889584623776,139.372038057332
"fgfg2",4.47348666222804,68.938811268414,140.88763577098,219.839870928843,334.962784892911,749.368365917143,218.952234485066,1.83395152230238,208.504046571927,229.923983607032
"fgfg2",5.86440808053007,128.623027051382,299.063857913899,444.444549468243,722.569378984906,1690.80980286199,457.898655032161,1.89439983043855,435.297490917562,481.673298502817
"fgfg2",7.68780254233678,241.546174936993,476.282243985718,714.489666840566,1107.48400853183,2254.39710226126,720.943750744517,1.84079147764192,685.56728027458,758.145708951279
"fgfg2",10.0781369779126,319.670125053735,721.542503039502,1091.74607781479,1639.15373518172,3723.04580904862,1083.09983968671,1.80868790253956,1032.52768850481,1136.14896316062
"fgfg2",13.2116875253013,571.070284064148,1122.62497003343,1817.42864052026,2608.84342062102,5500.36617810231,1736.28635669532,1.80408274217934,1652.66830866986,1824.13512537956
"fgfg2",17.3195390823467,1040.038960945,2492.18749774155,3797.23054474854,6144.97402341091,11220.023163894,3850.9046302062,1.86438985317288,3651.4473930726,4061.25705085538
