"year","prod_model","fg","dbh","q025","q05","q25","q50","q75","q95","q975","dens_model","corr_factor"
1995,1,"fg1",2.23750223362737,168.990487195301,169.41347693903,170.519650087844,171.273663978324,172.115065118984,173.285011110467,173.644432410632,1,1.06317473889141
1995,1,"fg1",2.36999037942355,168.258686440624,168.662137575898,169.707273769646,170.435463164344,171.228445615828,172.345609630524,172.663708848601,1,1.06317473889141
1995,1,"fg1",2.51032348220468,167.528571302884,167.916411988048,168.908898006797,169.600620256006,170.345067281542,171.384200230079,171.707515477966,1,1.06317473889141
1995,1,"fg1",2.65896606164325,166.836048906589,167.188838504355,168.114563712371,168.767665220226,169.452481357333,170.441176581221,170.756430576944,1,1.06317473889141
1995,1,"fg1",2.81641014279217,166.096394248231,166.446257844085,167.319200167058,167.935351429078,168.579167944386,169.524189180159,169.810249978985,1,1.06317473889141
1995,1,"fg1",2.98317688474764,165.381714033674,165.696580839113,166.526030752988,167.111530744486,167.720419187235,168.596940857178,168.865469913873,1,1.06317473889141
1995,1,"fg1",3.15981830574927,164.630855935143,164.959107728914,165.729887231954,166.287245899269,166.863565241252,167.675936382125,167.944064622923,1,1.06317473889141
1995,1,"fg1",3.34691911042775,163.924224829526,164.191186680155,164.942350804958,165.469106191665,166.01285590413,166.793349337029,167.033341169069,1,1.06317473889141
1995,1,"fg1",3.54509862524841,163.192287330302,163.444142243202,164.147346199193,164.651456730064,165.163227070828,165.91156450266,166.130570564124,1,1.06317473889141
1995,1,"fg1",3.75501284855729,162.466664683489,162.673816799538,163.353643240024,163.841207071218,164.323439264813,165.019878322404,165.237422512239,1,1.06317473889141
1995,1,"fg1",3.97735662201565,161.712350375709,161.910772624798,162.555681271316,163.032988223442,163.494077195759,164.144979708901,164.370337883652,1,1.06317473889141
1995,1,"fg1",4.21286593061052,160.939929328638,161.143080536085,161.769961583982,162.218504220342,162.678457900538,163.309662786567,163.517624380394,1,1.06317473889141
1995,1,"fg1",4.46232033885469,160.180371268378,160.374495896429,160.984097128981,161.422108347433,161.858047268623,162.478465552032,162.679320046886,1,1.06317473889141
1995,1,"fg1",4.72654557124029,159.388068850517,159.583226399671,160.19408470923,160.62748686492,161.049482168784,161.670176096281,161.840585159639,1,1.06317473889141
1995,1,"fg1",5.00641624548745,158.598042020131,158.807912214169,159.405604049194,159.826710485006,160.254076973853,160.867837474865,161.03872218188,1,1.06317473889141
1995,1,"fg1",5.30285876763557,157.814395877517,157.988988940348,158.616566387551,159.034206471999,159.460029201908,160.092243439569,160.272753830961,1,1.06317473889141
1995,1,"fg1",5.6168543985602,156.985104381729,157.169471987656,157.813678899574,158.243698511507,158.673262922479,159.31470003425,159.507718332966,1,1.06317473889141
1995,1,"fg1",5.94944250206614,156.159777139981,156.356876145737,157.019145487666,157.468069928739,157.901782885019,158.551755641363,158.763672777254,1,1.06317473889141
1995,1,"fg1",6.30172398530825,155.305370399487,155.553574794876,156.223445799381,156.682195154932,157.137467316477,157.817624946322,158.03491967188,1,1.06317473889141
1995,1,"fg1",6.67486494292836,154.479985308794,154.73053045062,155.432316545299,155.907696666063,156.388923497489,157.105020310825,157.335537170569,1,1.06317473889141
1995,1,"fg1",7.07010051697063,153.636113421023,153.896893392356,154.646496629504,155.12966764958,155.641639381072,156.39448864649,156.635914452643,1,1.06317473889141
1995,1,"fg1",7.48873898535221,152.805365069029,153.080817953074,153.856117543002,154.371855500738,154.907106554887,155.673924218828,155.948950442012,1,1.06317473889141
1995,1,"fg1",7.93216609242261,151.965427400754,152.237008753313,153.062009873444,153.615221461229,154.160219378853,154.968443966892,155.253326161509,1,1.06317473889141
1995,1,"fg1",8.4018496359464,151.1372445014,151.414770154063,152.274156846345,152.851209711257,153.428168127819,154.282710352356,154.583161858806,1,1.06317473889141
1995,1,"fg1",8.89934432569262,150.293896088693,150.602009318318,151.48735969511,152.085453031535,152.703512156898,153.60237388257,153.887476103572,1,1.06317473889141
1995,1,"fg1",9.42629692971367,149.471149478341,149.773317492362,150.69353346684,151.338931345961,151.982994087653,152.915131964304,153.220578967034,1,1.06317473889141
1995,1,"fg1",9.98445172534819,148.631369721101,148.946296753454,149.912790646594,150.585448394587,151.262028631178,152.248456120847,152.542075848023,1,1.06317473889141
1995,1,"fg1",10.5756562729917,147.779573309446,148.133188223453,149.13059268093,149.841414332985,150.546710004985,151.573039133247,151.8904361562,1,1.06317473889141
