"fg","dbh_bin","q025","q25","q50","q75","q975"
"fg1",22.7046267519177,15.4251277348754,30.1542938505337,48.0472815329891,70.3592233070217,117.73669498127
"fg1",29.7640759083095,12.9917810495703,29.1774333962665,44.9246676054081,68.1000323047031,105.026517325382
"fg1",39.0184883616633,14.2136383092003,31.3650135250806,49.9329295036578,69.8196228869534,102.718769405231
"fg1",51.1503343399355,16.6599746958019,30.8702327429506,51.6017918293115,76.847376816903,127.895611826963
"fg1",67.054281519984,20.1587067462309,34.8640034147734,47.6266863641298,75.4782850398351,117.80590090143
"fg1",87.9031726416461,30.6819512236564,35.514394151658,41.6016686569751,51.0742076121279,56.5874613208925
"fg1",115.234517249494,48.300919244355,48.300919244355,48.300919244355,48.300919244355,48.300919244355
"fg2",1.15546278812523,1.98524669607682,5.97505329561783,9.40601725709066,15.2907649739427,40.3868428055607
"fg2",1.51472572135904,2.03537524416224,6.05029826051369,9.91490638186188,15.0080021145651,38.1108022708112
"fg2",1.985692689134,2.88821765951348,7.26282519153597,11.8277249546657,18.5751993510841,50.2051885044482
"fg2",2.60309533275933,3.21834053482362,9.33734902099081,14.9851784773452,22.7649348456216,53.5896915856159
"fg2",3.41246424913243,3.7321660070975,9.24809027950952,14.0786990491499,21.6818496685234,51.1811763508771
"fg2",4.47348666222804,3.84939770797805,9.49572667986034,14.4638210284891,22.5547035868069,54.3436915856217
"fg2",5.86440808053007,4.54699441522671,11.0119769261391,18.1126889635389,29.0838119325649,61.844714110537
"fg2",7.68780254233678,6.67314001966349,15.596028210961,23.5207303922779,38.0651237619828,82.7410236509057
"fg2",10.0781369779126,6.20708579460205,15.40409298001,23.4705795756404,34.9179810860655,71.5201264284684
"fg2",13.2116875253013,6.58656152750169,15.0409971305809,23.4703994719778,36.5011829053596,70.4582189805474
"fg2",17.3195390823467,8.31155109489957,19.1924414783375,31.4192760919478,47.6212329516071,93.7713434887586
"fg2",22.7046267519177,9.87161838339678,25.3160936485521,40.1100301240268,61.1560699611541,101.723813837674
"fg2",29.7640759083095,10.1576419497176,24.6852231398929,38.2548177490144,57.0533855721779,97.595280342158
"fg2",39.0184883616633,12.7000482221734,27.2375999121188,41.0595659715674,61.1291711844717,96.4732065359873
"fg2",51.1503343399355,17.6969247802256,31.8306225752799,46.9561767063762,69.6844267292603,104.096890717366
"fg2",67.054281519984,19.603788382104,30.2849928837391,42.2144880021159,57.0689185704885,88.4561750188565
"fg2",87.9031726416461,21.1742803089475,26.1475167718591,31.8339161519455,42.1929083839593,64.5819744685992
"fg2",115.234517249494,28.4910622764027,30.6237539348891,38.6843553762341,54.9541042201505,67.3847882647646
"fg2",151.063875929237,28.4018783455635,40.6498062501752,51.8174298538811,60.8404339204425,61.4963822151238
"fg2",198.033498603164,24.2491257326048,33.2424677822393,39.6710152897756,44.0412188581568,47.4770322720726
"fg2",NA,42.5085741678699,42.5085741678699,42.5085741678699,42.5085741678699,42.5085741678699
"fg3",1.15546278812523,3.30405427573947,6.78122413480432,10.4987926680336,16.6357214252994,41.004084202753
"fg3",1.51472572135904,3.29576434474791,6.68307769907215,10.1325542007425,16.0114760238756,37.9407066114068
"fg3",1.985692689134,3.55353268312747,7.79533877429306,12.1737424688306,19.2279619499748,46.2104061147379
"fg3",2.60309533275933,4.65322588292177,9.63569213358164,14.9930103059833,23.2258440668455,54.8576046516338
"fg3",3.41246424913243,4.74931979341088,9.94276985707433,15.1743068635131,22.7605713419437,52.7111296471187
"fg3",4.47348666222804,4.73840853162988,9.82827836700151,15.1307531354737,23.5235077628416,56.4902037544494
"fg3",5.86440808053007,5.55450186817315,12.2889205025534,19.0875561578126,30.0017943407587,65.9801101751724
"fg3",7.68780254233678,7.59875833712319,15.6431511825281,24.0257356624755,36.6576101792222,80.6666298892791
"fg3",10.0781369779126,7.00567338682861,14.7385504072551,22.8067255371804,34.3143817091494,72.8089106999837
"fg3",13.2116875253013,6.95370351257191,14.4719595832044,22.4170362692534,33.05647594671,69.9484444154423
