ratio,light_area,q025,q05,q25,q50,q75,q95,q975
fast:tall,4.242045591994325,0.7215670361145905,0.7763307067779133,0.9553876923623745,1.0985163206053854,1.2617545419064777,1.552347060588676,1.6641911320009874
fast:tall,4.505306108377592,0.7661412955028112,0.8187034403467051,0.9939285388782806,1.1320260261775565,1.3010570902242542,1.603022870358655,1.7217321588638956
fast:tall,4.784904520708319,0.7957977610912609,0.8456428367295635,1.021008802909968,1.153806276959727,1.3262200977211498,1.6350734255498625,1.7569578444032492
fast:tall,5.081854755600558,0.8183495709996517,0.8700009192531805,1.0382524127974593,1.1686547738204824,1.336822832595387,1.651237150809391,1.7603038853483692
fast:tall,5.397233663754914,0.8285701683417872,0.8850040779606225,1.0482543677005123,1.1769636823364247,1.3475110906494503,1.6250032716215128,1.7331876990990942
fast:tall,5.732184925014995,0.8363548778881024,0.8897264728746942,1.0537764906140636,1.1820638846506937,1.3491029779866845,1.6319767345607847,1.7170345844621608
fast:tall,6.087923195770914,0.8399538631974393,0.8899258727193581,1.0555335872175293,1.1814061690814017,1.3466885793987964,1.6150176504463756,1.7024243014174758
fast:tall,6.4657385137498125,0.8401320659800694,0.8919235541635451,1.0560943527187876,1.1774218788193749,1.3384397237140893,1.5979600624046655,1.6689418374270553
fast:tall,6.867000976166844,0.8413854584276003,0.8918211647997155,1.0533912757033677,1.1752419428813456,1.323601625976734,1.5739325026950455,1.639868771711103
fast:tall,7.293165708201271,0.8467005235883847,0.8865122671354689,1.0503773591053382,1.1675195830646345,1.3092801140047143,1.5400095781943381,1.6121584689451152
fast:tall,7.745778139815223,0.8376910143968644,0.8866117361095417,1.0449578028366227,1.156353993901471,1.3004247904381172,1.5111369194412694,1.593195935310714
fast:tall,8.22647961005079,0.8261931622267861,0.8751184326519594,1.0356553213763433,1.1458914842100525,1.2849397786676335,1.4873971432411146,1.5618284800109137
fast:tall,8.737013319128684,0.810974562894393,0.8668831926782649,1.0194490977818926,1.1321301514119977,1.2667952484362472,1.4708072440332653,1.541521193530155
