"fg","dbh_bin","q025","q25","q50","q75","q975","mean","sd","ci_min","ci_max"
"fgfg1",2.60309533275933,6.71188885673754,14.6019617518193,22.3520730678779,32.1284938115852,68.6166863608023,21.8630093779375,1.78742920899037,20.7810526216068,23.0012977573042
"fgfg1",3.41246424913243,8.42276248688633,15.5002226321172,23.4801216152288,36.348230970194,75.2533719810499,23.8363640561907,1.80728475682791,22.6372077841649,25.0990429931339
"fgfg1",4.47348666222804,9.38787068850872,20.5973308831099,30.875106536751,43.1583018301269,95.5916694940273,29.8757710760343,1.80889528292911,28.3877069182059,31.4418385380462
"fgfg1",5.86440808053007,13.6525208911323,28.2743279414699,45.0592725302922,69.615218223087,141.874039106679,44.1047679177203,1.84668873666067,41.7304363041065,46.614191591487
"fgfg1",7.68780254233678,17.4837079945424,34.5725989975121,55.2117094564498,81.2090505153041,156.896930084963,52.9652293001921,1.793413486499,50.4190410636472,55.6400013891696
"fgfg1",10.0781369779126,19.3251427991531,44.1192320741665,69.3332060862493,98.7669172569409,203.681699096944,65.442799939257,1.8160955665297,62.2249619668122,68.8270418899386
"fgfg1",13.2116875253013,26.5216747354933,55.6921745784696,85.1467755370751,123.333307843693,224.983015832752,81.8915613682575,1.7583501084266,77.4473023604959,86.5908510552819
"fgfg1",17.3195390823467,41.821355403637,88.8233782099223,124.461356391044,183.349668520341,293.917226969846,122.987709515576,1.71114679646577,116.578689840036,129.749070886308
"fgfg1",22.7046267519177,66.4848835041884,113.922458388479,168.141902919018,228.722287869341,353.037415744987,160.033698586354,1.56786757340085,151.793321197465,168.721419896409
"fgfg1",29.7640759083095,71.2320878076232,153.257929030361,200.646412913054,257.92621137298,327.823441732905,187.634659650867,1.50600832175304,178.123360306206,197.653836317562
"fgfg1",39.0184883616633,103.492187283066,183.652570445092,227.260002715368,278.910003332497,366.850788003057,216.827920379575,1.42524098946108,205.172882989594,229.145033062269
"fgfg1",51.1503343399355,179.244825195258,271.94325906321,312.385888464529,373.049832566508,409.908818851197,306.244482786227,1.26723751928616,290.563991291802,322.771183105131
"fgfg1",67.054281519984,192.103534145662,255.879012157417,300.604048081087,337.129842248549,410.834236455783,289.831147716226,1.25635494932106,266.33853168685,315.395949863052
"fgfg1",87.9031726416461,199.419137873112,218.716079458581,275.348294493176,334.894634941761,390.477138133683,273.585397704106,1.33716416115832,216.833289304572,345.191322222569
"fgfg1",115.234517249494,412.197295117165,412.197295117165,412.197295117165,412.197295117165,412.197295117165,412.197295117165,NA,NA,NA
"fgfg2",1.15546278812523,2.63211327715198,5.80736104006547,9.02438837880678,14.664631115561,36.9874584803594,9.26284588017717,1.97412539461937,9.01809232564796,9.51424211480895
"fgfg2",1.51472572135904,5.23915880880727,11.2804854735085,16.9207282102627,26.279353195692,56.2896225128073,17.1806229497235,1.81540434000574,16.3132648212562,18.0940975442238
"fgfg2",1.985692689134,6.42569876231705,12.3876442329454,17.7980993026467,26.8015978935396,58.936358641499,18.5042707846529,1.79150175903674,17.615499575369,19.4378839956677
"fgfg2",2.60309533275933,6.70562192036337,13.6619212956936,20.0541963973484,30.6244290817841,60.2565932376578,20.1761743563108,1.78404496563536,19.285144689042,21.1083721807676
"fgfg2",3.41246424913243,7.77517906155529,16.7118303311237,23.7934684339373,34.6979377249955,86.0137017355021,24.1868516944123,1.79806614025749,23.1054207587048,25.3188981493488
"fgfg2",4.47348666222804,10.4553388509092,20.2213147006596,30.4573107784729,44.4116891049611,94.4949556285474,30.2095623433486,1.78490769163079,28.8309286336169,31.6541193859623
"fgfg2",5.86440808053007,14.2823479967366,31.0631146279761,47.064692170027,72.9680291832687,168.604611721311,47.7598115579478,1.83796428572355,45.5113807684057,50.1193231569492
