"fg","bin_midpoint","bin_count","q025","q25","q50","q75","q975"
"fg3",3.6889813171354,8814,26.2269602415355,57.224825941121,89.4852217280557,138.750031974627,321.570818820242
"fg3",4.91914896842916,6290,47.4767435613451,106.852977093578,166.290771218726,261.32825053667,613.414463140362
"fg3",6.55954164397562,4316,102.696342685066,241.09992769701,381.039487384747,606.494247356843,1362.61186984345
"fg3",8.74695742194416,3160,207.862768314646,469.433125791938,686.765752572064,1055.04083475718,2239.89497112412
"fg3",11.6638125487886,2148,346.485039715067,719.945450933348,1083.86732273989,1636.0581284821,3700.32215249155
"fg3",15.5533537675595,1148,657.676587571118,1451.4304425746,2242.57234463706,3423.21469114989,7690.01058842095
"fg3",20.7399435139226,787,1936.0124912469,3790.49541317625,5570.46245840331,8116.2248385835,14171.4329468283
"fg3",27.6561096332728,600,2906.62482794615,6186.28946200749,8738.24651884721,12829.1635036552,20021.9263619376
"fg3",36.8786153893889,331,4851.94434719357,9511.41794494567,13663.3608930264,18395.0172829532,28533.7728351575
"fg3",49.176557768712,139,12892.0252550212,23604.8428609389,31737.4038282774,39623.172305109,62201.6999765327
"fg3",65.5755051659368,37,24151.7991945565,35487.5392662076,50628.8370481559,59223.8593483031,88217.9401161585
"fg3",87.4430231166713,12,45374.5363442524,61955.8690225636,70647.9849676848,75645.4763012863,125205.945436147
"fg3",116.602720366912,2,117665.490626177,124805.128650598,132738.059788843,140670.990927088,147810.628951509
"fg4",1.16673541359231,2769,1.46022441893526,4.34450720757373,7.10475804172631,12.0023331149392,30.1609062935477
"fg4",1.55580763706853,1980,2.87802109238801,7.99317180169432,13.2728910319618,21.4611518549889,51.6092265485032
"fg4",2.07462409674193,1760,4.59563208459661,15.0656338553745,26.6977067191875,44.5046772932219,120.338790258103
"fg4",2.76645071037962,1164,13.0836473327049,34.8894833325876,57.1007993367816,88.7313414671219,215.404202075579
"fg4",3.6889813171354,610,25.2844390679115,54.5032625250198,84.1147021527362,138.291340071732,312.774731129628
"fg4",4.91914896842916,364,32.052971221016,86.2518907432891,146.057891260268,254.102315606369,563.332117712316
"fg4",6.55954164397562,147,78.5066266568431,168.860019595732,268.171842428176,470.340011222109,1264.48996368313
"fg4",8.74695742194416,114,195.107167724116,432.368482029307,623.698136398355,943.742665203986,2569.57019149416
"fg4",11.6638125487886,82,227.526219643015,608.220249601713,1234.93635950723,1945.71918492681,3369.86315234703
"fg4",15.5533537675595,51,534.471447505605,1147.24709661042,2065.5488363752,2938.87961001265,4829.32076090395
"fg4",20.7399435139226,14,1761.30334739361,2532.23981139617,5817.40361292489,7865.30261130835,14400.9388798589
"fg4",27.6561096332728,1,5070.39855703333,5070.39855703333,5070.39855703333,5070.39855703333,5070.39855703333
"fg5",1.16673541359231,1454,1.65752829950704,3.85444760123911,6.07923048002863,9.82787610670447,24.8482270170407
"fg5",1.55580763706853,1336,3.13068912433852,7.01673562899709,10.8379472290427,16.3923558669484,37.8473649085534
"fg5",2.07462409674193,1561,5.29458984349436,13.5930205423063,22.7070973556179,36.7990188413048,92.8380308475533
"fg5",2.76645071037962,1463,12.5283377396052,32.3043748799941,49.5510759685687,78.3821242013179,176.005297930706
"fg5",3.6889813171354,1279,26.16437329807,55.8503874404539,88.8910884802244,140.089930300458,342.803036068811
"fg5",4.91914896842916,1108,45.8827240724007,100.47953882828,162.71617748616,258.547893492059,593.275748956196
"fg5",6.55954164397562,871,99.3379970880386,248.675424043955,410.100563061827,649.921997990444,1538.18037353842
"fg5",8.74695742194416,744,191.959952637584,427.073321423914,674.882647070998,1072.98076343382,2372.77219399308
"fg5",11.6638125487886,618,297.940898585709,722.554920118651,1153.89340240552,1837.59321102894,4143.27910271761
"fg5",15.5533537675595,360,497.671011259359,1464.72284654636,2344.83000534091,3633.59319341696,6890.37317541306
"fg5",20.7399435139226,228,1652.48275084452,3865.16956263119,5929.90487133716,8372.38126858207,15044.362419112
"fg5",27.6561096332728,95,2010.25487500446,5901.29803990378,8237.28947848539,13233.3434944321,23646.3189120264
"fg5",36.8786153893889,45,5368.0230160609,10622.6385346814,13664.7925692687,21443.513519259,34147.6871577653
"fg5",49.176557768712,35,13088.2258739786,20515.8521739077,28273.2738516603,35961.2067025586,44187.9519563536
