"fg","bin_midpoint","bin_count","q025","q25","q50","q75","q975"
"fg5",27.6561096332728,95,1829.77492881258,5384.71383238045,7519.26024555819,11837.7917383629,21892.9071632255
"fg5",36.8786153893889,45,4990.86905094601,9808.98363066667,12657.6846304217,19929.7394272716,32042.2484832008
"fg5",49.176557768712,35,12310.6098837995,19393.9220530662,26824.3889202854,33800.1018459181,41732.5235374682
"fg5",65.5755051659368,22,27876.7942945235,38583.1359253609,47924.5203608919,52586.2814943678,61197.500421938
"fg5",87.4430231166713,5,47124.9019063557,57112.9650979973,84168.9809191541,84522.4843668113,86450.6627568972
"fg5",116.602720366912,4,148460.521415518,232395.752511678,263665.906120434,272420.430398486,295563.462301744
"unclassified",1.16673541359231,159,1.50690041379655,2.75514272906537,4.21659155789052,6.79300636967094,14.981030129897
"unclassified",1.55580763706853,157,2.7499533286518,4.95997813617832,7.638759246255,11.0159090202222,20.3330458502372
"unclassified",2.07462409674193,185,4.6550083106217,11.9177595554945,20.1882817665871,31.0721071040117,77.7649743829643
"unclassified",2.76645071037962,212,13.1443649924558,26.1770521189667,41.8595634874038,65.4691126254948,149.386291622932
"unclassified",3.6889813171354,256,14.1774439988284,38.8643565900736,64.7036638825972,104.746404031628,193.433827292306
"unclassified",4.91914896842916,201,12.396574100929,57.4614062732497,111.286650360879,184.83073519239,498.502770377037
"unclassified",6.55954164397562,182,17.8699690688359,59.1276662532078,188.409521373621,419.834898606824,902.590215904246
"unclassified",8.74695742194416,86,44.9031176055894,91.1762534665113,366.950515271963,652.317324188745,1694.40439985561
"unclassified",11.6638125487886,35,271.851425082384,675.264536294159,795.552454371281,1473.25650509348,2185.25572129234
"unclassified",15.5533537675595,18,874.780220463923,2290.76122698869,3131.67409220769,3898.75293597502,5062.2523246986
"unclassified",20.7399435139226,12,3379.98345934158,4048.13769427616,4984.50658777245,8454.18631140341,11470.6910663146
"unclassified",36.8786153893889,1,23936.1602430174,23936.1602430174,23936.1602430174,23936.1602430174,23936.1602430174
"unclassified",49.176557768712,3,22307.3704996517,29942.6902488894,38426.3788591536,38470.9703857648,38511.1027597148
"unclassified",65.5755051659368,2,53317.4868781334,56486.9929812537,60008.6664291651,63530.3398770765,66699.8459801969
"unclassified",207.336479719973,1,277611.675815465,277611.675815465,277611.675815465,277611.675815465,277611.675815465
