fg,dbh,q025,q05,q25,q50,q75,q95,q975
fg1,43.158613120288415,0.5799929140262023,0.5839965639671214,0.598374643414476,0.6078824589453755,0.6179821550682686,0.6326323814468631,0.6378900758872251
fg1,45.00231931236823,0.5942057171581867,0.5985746472603279,0.6135006665812375,0.6235077240935687,0.6341314535002317,0.6495936244626664,0.6550159227732786
fg1,46.924787361629114,0.6088596217737349,0.6134385609825846,0.6290230789441733,0.6394884017933042,0.650675875585454,0.6670205647061161,0.6725888718948333
fg1,48.929381920298894,0.6236209413003098,0.6285912703893036,0.6449042965587324,0.6559932993189814,0.6676780882495026,0.684903873426099,0.6907367706299289
fg1,51.01961137622842,0.6388726862519065,0.6440046850551071,0.6612622114997712,0.672870406534968,0.685130738709795,0.7031656973256851,0.7094050943778696
fg1,53.199133993178286,0.6543345770310633,0.659906480965534,0.6781319523205331,0.6902041921604081,0.7030406198627792,0.7219459291887816,0.728436389174349
fg1,55.471764313414404,0.6703352837761535,0.6760198491012022,0.6953400912514444,0.7079865857190665,0.7214435388923912,0.7411355611305399,0.7480725779590703
fg1,57.8414798338178,0.6867008612666451,0.6927413341669835,0.7129442865734774,0.7261600325625581,0.7403650970785782,0.7609805622358801,0.7681662261781129
fg1,60.31242796719373,0.7035182170500417,0.7098889982207777,0.7310124827551245,0.7448773141920574,0.7596781868369569,0.7813645644969334,0.7887879269599647
fg1,62.8889333009624,0.7207188553521037,0.7274992630269875,0.7496164953972382,0.764036732587009,0.7795478417934587,0.8022512287279536,0.8099887508166669
fg1,65.57550516593676,0.7383414819729283,0.7454957195333447,0.7686053663707295,0.7836704974201372,0.7999537543076347,0.823737676198761,0.8318928831272612
fg2,1,0.015415231475367776,0.016459101115435717,0.01992990681651701,0.022309047502503235,0.024682591080124737,0.02752964219444847,0.028120466047669136
fg2,1.0487381987393707,0.01770590599480057,0.018636322959240854,0.021704869229873965,0.023847503115145306,0.026037408822081835,0.028754904406696927,0.029321018242886843
fg2,1.0998518094951,0.02016788356157145,0.020999516642517563,0.02363303353051208,0.025478123150471405,0.027472235936428394,0.030028161554168497,0.03057030166707324
fg2,1.1534566055701287,0.022889478366367247,0.023456979324619653,0.025677403107693255,0.02723522984720171,0.029000932207232537,0.03133138887858899,0.031860712823941435
fg2,1.2096740028496455,0.025704063693309444,0.026144349012410965,0.027859512314833836,0.029132236887958244,0.03064077742421895,0.03273024492727054,0.03326624951637778
fg2,1.2686313348103817,0.02841598714173909,0.028807754042703755,0.030136502501612143,0.031139374879348918,0.03238688290394854,0.03417631695863462,0.03469213673159641
fg2,1.3304621409333632,0.031040047635063708,0.03141193682018434,0.03250993248607258,0.033317921152956294,0.03426713444313707,0.03574661505993254,0.036205968746413963
fg2,1.3953064691733823,0.03352966686696018,0.033893350224694814,0.03490098905351389,0.03557994564492339,0.03637397354135826,0.037536527443729435,0.03791308712154563
fg2,1.4633111931702842,0.035947127483595714,0.03625121247840616,0.03723393689232901,0.03791612846935549,0.03864533885954739,0.039726964792390636,0.04012169243677523
fg2,1.5346303449205632,0.038269096142447244,0.03857524076608631,0.03954986624743618,0.04023796461676967,0.04103571918935725,0.04238205926725002,0.04287161014617139
fg2,1.6094254636627707,0.040510192461313335,0.04081781535878526,0.04181378172708573,0.04259984316403735,0.04355947486880349,0.045162804929851204,0.0456328148958654
fg2,1.6878659617669707,0.042740468395356834,0.043033073195806654,0.04410761858484191,0.045034566871839314,0.046246166863947925,0.04792622858587966,0.048379676997340255
fg2,1.7701295084569888,0.04491282897178488,0.04526630327276712,0.0464310612055789,0.04756826539611447,0.04896102920291374,0.05057356999457289,0.05097560125697462
fg2,1.85640243223459,0.04709921261490884,0.047480252864583614,0.048772037970590695,0.050209904139108315,0.051633332258868465,0.05314055614452245,0.053528393791486585
fg2,1.9468801429170908,0.04934359820400482,0.049706165286784766,0.051247778095454485,0.052880701332059375,0.054234348806874694,0.05561524586403097,0.055965491238414475
fg2,2.0417675742443184,0.05159092186684993,0.05197949658563212,0.053819280480955425,0.05553898854581826,0.056770874835591956,0.0580032357546975,0.05838115035044181
fg2,2.141279648057441,0.05390710950556346,0.05431681313620352,0.05645314886155197,0.05815042009637349,0.05922974139897847,0.060344675118779154,0.06071349833078527
fg2,2.245641761101034,0.056199155556916264,0.0567578985467937,0.05911625786314194,0.06069449497256875,0.06163295043010545,0.06273209677588402,0.06302046915915271
