"fg","year","bin_midpoint","bin_min","bin_max","mean_n_individuals","mean","sd","q025","q25","median","q75","q975","ci_min","ci_max"
"fg2",2010,3.6889813171354,3.16179767422781,4.21616496004298,1063,0.112448517122508,2.42654227860704,0.0221066241123741,0.0565129577338617,0.120053168961161,0.224546415620457,0.536079026788431,0.106362465952111,0.118882811618378
"fg2",2010,4.91914896842916,4.21616496004298,5.62213297681534,985,0.221881680946087,2.52073046674004,0.0361960025675095,0.115023696061577,0.245819021440023,0.478395442061162,0.981664982843493,0.209167372213278,0.235368833190973
"fg2",2010,6.55954164397562,5.62213297681534,7.4969503111359,773,0.434978306939615,2.60857893866915,0.0625622352284928,0.217771389104846,0.4889739150378,0.951452052479713,1.91630401223452,0.406186906536494,0.465810503645702
"fg2",2010,8.74695742194416,7.4969503111359,9.99696453275241,806,0.882982150292654,2.67350771816338,0.110000987968383,0.450998557033665,1.05151401210884,1.89955710690702,4.03232182564153,0.824675265115263,0.945411497974864
"fg2",2010,11.6638125487886,9.99696453275241,13.3306605648247,710,1.74085776816745,2.75365366112184,0.172995258886529,0.937791524676026,2.16415585432915,3.75982523747814,7.42328575868474,1.61586568992519,1.87551836014865
"fg2",2010,15.5533537675595,13.3306605648247,17.7760469702942,636,2.77689218486201,2.93767218027131,0.29594122973179,1.30279272873361,3.58776429015354,6.43313071158332,13.4052924050213,2.55380015988944,3.01947283403786
"fg2",2010,20.7399435139226,17.7760469702942,23.703840057551,597,4.55490023027563,2.99491002050364,0.484910115806838,2.03283854026796,5.22457822049111,11.0499097489624,23.1434932839873,4.17124091939116,4.97384747337808
"fg2",2010,27.6561096332728,23.703840057551,31.6083792089945,496,8.21422330620438,3.14807233018559,0.731018822059661,3.50448823988793,10.6821864720542,20.3304451453031,42.3621137815975,7.42567761808389,9.08650603951238
"fg2",2010,36.8786153893889,31.6083792089945,42.1488515697832,385,15.0852758251755,3.19305647552467,1.1427362761633,6.22017838673407,18.8186897743034,40.0864083666325,84.6771040364014,13.4334806866639,16.9401774588129
"fg2",2010,49.176557768712,42.1488515697832,56.2042639676407,364,30.5968608262832,2.91111549003508,2.09611509068381,19.5523086744317,37.252156761523,65.9546631313616,139.470562288298,27.4159963181651,34.1467762673525
"fg2",2010,65.5755051659368,56.2042639676407,74.9467463642328,311,43.2793637993376,2.9276535789326,2.70082301552232,27.6628973440222,51.5345994361142,88.0743848381011,215.554088006673,38.4089264075642,48.7673961776378
"fg2",2010,87.4430231166713,74.9467463642328,99.9392998691097,193,59.5803816581673,3.18191005894226,4.93760710563838,27.4275511774127,77.5848260065786,140.957875058587,378.64732809303,50.6038338564681,70.1492675160055
"fg2",2010,116.602720366912,99.9392998691097,133.266140864714,82,88.2848773720411,3.22530760027296,5.75296851740022,45.333483643227,92.0810962383687,199.950563958505,609.282746235446,68.5188804205071,113.752874021911
"fg2",2010,155.486325979643,133.266140864714,177.706511094572,24,101.694357058993,3.3666506602895,8.48484842127349,67.203807016113,128.701888637732,231.316988681178,555.321901585345,62.571646112137,165.27841123291
"fg2",2010,207.336479719973,177.706511094572,236.966448345373,20,201.632419953232,3.14102197830711,29.0241697219273,99.504820180145,274.457872095666,454.274081016588,1071.98600962855,122.099365031335,332.971696992551
"fg2",2010,276.47714711774,236.966448345373,315.987845890107,7,551.18506055507,1.96637427781651,188.492925295327,471.704444881611,727.337597619635,747.595134215187,1134.39414436984,334.003087488485,909.587313289642
"fg3",1990,1.16673541359231,1,1.33347082718462,24017,0.00892900238153154,1.64345927048729,0.00380768775061831,0.00673442782411689,0.00922034171981627,0.0134662760045418,0.0177965917810696,0.00884439583978569,0.00901441827951109
"fg3",1990,1.55580763706853,1.33347082718462,1.77814444695244,21256,0.0228665042898244,1.59175950070529,0.00708238190444279,0.0183476380563757,0.0241085905823113,0.0316198722271024,0.0456461748976149,0.0227065985571021,0.0230275361200242
"fg3",1990,2.07462409674193,1.77814444695244,2.37110374653142,22230,0.0430689589055577,1.6216616203616,0.0124731758408321,0.0317224446117723,0.0450483915753956,0.0614360766714969,0.0932658765756894,0.0427853468072373,0.0433544509891607
"fg3",1990,2.76645071037962,2.37110374653142,3.16179767422781,18156,0.0789214111459349,1.80487391506622,0.0180806533773371,0.059568321190715,0.0870743570615949,0.119162157262555,0.192505002030117,0.0782368604290433,0.0796119514907516
"fg3",1990,3.6889813171354,3.16179767422781,4.21616496004298,14105,0.139859439167214,1.96227803765073,0.0316753427144457,0.0862006500977259,0.155743472640729,0.233101956007382,0.400309230245138,0.138303914884595,0.14143245865809
"fg3",1990,4.91914896842916,4.21616496004298,5.62213297681534,8985,0.272645694144952,2.04247733084723,0.049458422362657,0.172139320733674,0.303436408029101,0.469067208422857,0.815456632761422,0.268636970083635,0.276714238225064
"fg3",1990,6.55954164397562,5.62213297681534,7.4969503111359,5369,0.487984912193971,2.24293445865667,0.0769504073497493,0.299679968710472,0.56217950693956,0.899033834289747,1.62593068304958,0.477528977576281,0.498669789082945
"fg3",1990,8.74695742194416,7.4969503111359,9.99696453275241,3936,0.823633986178858,2.28699754727145,0.118763812721461,0.501121322380024,0.942983826495066,1.51457897809245,2.91465292900112,0.80259730738533,0.845222052138266
"fg3",1990,11.6638125487886,9.99696453275241,13.3306605648247,2384,1.49466985600563,2.41369439909823,0.194638188329042,0.887571312542478,1.74514607820063,2.84892698152115,6.0757577596768,1.44272576140772,1.54848415285248
"fg3",1990,15.5533537675595,13.3306605648247,17.7760469702942,1273,2.92527724534837,2.60932812053264,0.30045066638605,1.66603529516301,3.47173482779918,5.79926804809045,13.5946772152401,2.77514597327871,3.08353039607605
"fg3",1990,20.7399435139226,17.7760469702942,23.703840057551,860,5.44734403171945,2.66596307667722,0.524860802205981,3.04622469689625,6.46356461948513,10.8379407626633,23.8681720606831,5.10179703392907,5.81629508241272
"fg3",1990,27.6561096332728,23.703840057551,31.6083792089945,660,9.54081136655709,2.64854952448645,1.03607146356131,4.99162640237973,10.9933213513447,19.6464387099384,49.5937993041817,8.85754544774333,10.276784022081
"fg3",1990,36.8786153893889,31.6083792089945,42.1488515697832,434,16.2148978534222,2.84520979325784,1.46258631031412,9.19301439422612,19.0201632311358,33.0904161438561,81.061704790828,14.6957096276458,17.8911341513106
"fg3",1990,49.176557768712,42.1488515697832,56.2042639676407,215,37.2180322708396,2.73478944733718,3.68098533178705,18.5556814952191,42.478052849443,76.173512090862,173.534669930986,32.5349748312177,42.5751651353411
"fg3",1990,65.5755051659368,56.2042639676407,74.9467463642328,62,86.4404546869639,2.96934884871616,6.04824861273286,41.3177609069424,113.954224047836,196.354962732191,413.614095867353,65.9271429457659,113.336508646155
"fg3",1990,87.4430231166713,74.9467463642328,99.9392998691097,12,167.800558490308,2.22919393527346,34.0114020925224,138.964501283906,192.746865216641,304.664630601292,387.973800935114,106.613899938357,264.102780649986
"fg3",1990,116.602720366912,99.9392998691097,133.266140864714,4,696.556437181713,1.30907941987433,546.007372577991,596.726848554644,658.258046301359,778.168357150439,986.511438503474,534.97284865608,906.944850375386
"fg3",1990,155.486325979643,133.266140864714,177.706511094572,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fg3",1990,207.336479719973,177.706511094572,236.966448345373,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fg3",1990,276.47714711774,236.966448345373,315.987845890107,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fg3",1995,1.16673541359231,1,1.33347082718462,14419,0.00715452988767441,1.5080853184346,0.00428341128228758,0.00517848531511325,0.00604308689133194,0.0103118290780714,0.017529016593293,0.00707900941343265,0.00723085603142394
"fg3",1995,1.55580763706853,1.33347082718462,1.77814444695244,13010,0.0144455230751787,1.72839266926528,0.00639766679455598,0.00864111761981574,0.014703118197832,0.0219103223278591,0.041781679690913,0.0143001945267521,0.0145923285536533
"fg3",1995,2.07462409674193,1.77814444695244,2.37110374653142,14374,0.0280668940421428,1.91524723290642,0.0097084285229259,0.0154628593457665,0.0284306274640729,0.0467860550275469,0.091512394985876,0.0277649792321186,0.0283720918566941
"fg3",1995,2.76645071037962,2.37110374653142,3.16179767422781,12895,0.0527866579720597,2.09313090761345,0.0153981962186168,0.0280095149025892,0.054064386511181,0.0950330188429423,0.197300192401304,0.0521136505369327,0.0534683567769731
"fg3",1995,3.6889813171354,3.16179767422781,4.21616496004298,10631,0.100927633957846,2.2311870223069,0.0247397574403326,0.0523132998367435,0.105099322052716,0.188991701700505,0.419501604127943,0.0993967639888987,0.102482081785545
"fg3",1995,4.91914896842916,4.21616496004298,5.62213297681534,7379,0.196113225115227,2.33410913502745,0.0408833473101628,0.104274608086664,0.213186376168372,0.382667880231315,0.818574950535727,0.19235507660261,0.199944798673298
"fg3",1995,6.55954164397562,5.62213297681534,7.4969503111359,4883,0.376566017753895,2.32056189166826,0.0750694791662128,0.208332395960652,0.409561722805003,0.716326869292141,1.56373801472881,0.367770964705613,0.385571399962294
"fg3",1995,8.74695742194416,7.4969503111359,9.99696453275241,3483,0.660981974936328,2.40026316987916,0.121857727971135,0.353503808518847,0.732350145559904,1.2882137265202,2.90626777544058,0.642025197925112,0.680498479814634
"fg3",1995,11.6638125487886,9.99696453275241,13.3306605648247,2315,1.25079494201424,2.50878558014852,0.188824448903401,0.69206407407874,1.38477838474168,2.4539092402808,6.06571343392127,1.20477723494768,1.29857034278735
"fg3",1995,15.5533537675595,13.3306605648247,17.7760469702942,1211,2.51178585794272,2.64726829200854,0.306740312319337,1.30309863490893,2.73760434087906,5.27511174205145,12.2467251545171,2.37777029207438,2.65335479091084
"fg3",1995,20.7399435139226,17.7760469702942,23.703840057551,831,5.27417554475872,2.76015910417715,0.515204199584084,2.95638040365769,6.3448476224949,11.3195451737293,24.1790837723854,4.92238178364688,5.65111137241412
"fg3",1995,27.6561096332728,23.703840057551,31.6083792089945,651,9.52819792563782,2.80053029034608,0.865578943603732,5.26127935889754,11.0257119392479,20.0496411173027,53.374266765632,8.80349442860361,10.3125590010204
"fg3",1995,36.8786153893889,31.6083792089945,42.1488515697832,454,15.2930943315633,2.90604655925568,1.4800243687784,8.05371816793193,16.6492353819527,32.8369581342655,102.046088239125,13.863668695406,16.8699021429727
