year,fg,bin,bin_midpoint,bin_min,bin_max,richness,n_individuals,richness_by_bin_width,abundance_by_bin_width
1995,fg1,13,44.295721886806945,37.724604604332235,50.866839169281654,37,631,2.815350754633438,48.013143950640526
1995,fg1,14,59.72715644698064,50.866839169281654,68.58747372467963,40,512,2.257255510515305,28.8928705345959
1995,fg1,15,80.5344865212502,68.58747372467963,92.48149931782078,41,531,1.7159101064899323,22.22312845234522
1995,fg1,16,108.59052908368125,92.48149931782078,124.69955884954173,35,415,1.086347238434395,12.880974398579257
1995,fg1,17,146.42054001998702,124.69955884954173,168.14152119043231,37,334,0.851711064745642,7.688418800676876
1995,fg1,18,197.4295062438039,168.14152119043231,226.71749129717548,34,338,0.5804427982676462,5.770284288660718
1995,fg1,19,266.2086202547232,226.71749129717548,305.69974921227094,38,278,0.4811207099301888,3.5197778252787497
1995,fg1,20,358.9485221647182,305.69974921227094,412.1972951171655,30,129,0.28169663202183914,1.2112955176939084
1995,fg2,1,1.2264253600718122,1.044489395695229,1.4083613244483955,2,2,5.496439384189776,5.496439384189776
1995,fg2,2,1.653678870811467,1.4083613244483955,1.8989964171745384,4,10,8.152698531559532,20.381746328898828
1995,fg2,3,2.2297759788725857,1.8989964171745384,2.5605555405706326,8,42,12.092645565723947,63.48638922005072
1995,fg2,4,3.0065697782771243,2.5605555405706326,3.452584015983616,14,121,15.694566245229339,135.64589397662502
1995,fg2,5,4.053977582187368,3.452584015983616,4.655371148391121,18,236,14.965241575183052,196.21094509684445
1995,fg2,6,5.4662740095443425,4.655371148391121,6.277176870697563,21,359,12.94852996950521,221.35820281201762
1995,fg2,7,7.370576413325357,6.277176870697563,8.4639759559531509,32,545,14.633260191006489,249.22271262807925
1995,fg2,8,9.938286403099017,8.4639759559531509,11.412596850244881,37,680,12.548239101075602,230.61628618192998
1995,fg2,9,13.400517285385726,11.412596850244881,15.388437720526571,38,795,9.557726589119671,199.95770100921416
1995,fg2,10,18.068896008060896,15.388437720526571,20.74935429559522,42,835,7.8344811772158875,155.7569472136968
1995,fg2,11,24.363611941023755,20.74935429559522,27.977869586452293,42,912,5.810321803306325,126.16698772893733
1995,fg2,12,32.851237095392264,27.977869586452293,37.724604604332235,44,822,4.514332227077478,84.33593387858379
1995,fg2,13,44.295721886806945,37.724604604332235,50.866839169281654,44,704,3.34798468118571,53.56775489897136
1995,fg2,14,59.72715644698064,50.866839169281654,68.58747372467963,44,686,2.4829810615668353,38.71193200533748
1995,fg2,15,80.5344865212502,68.58747372467963,92.48149931782078,44,642,1.841464504525781,26.868641179671624
1995,fg2,16,108.59052908368125,92.48149931782078,124.69955884954173,41,527,1.2725781935945772,16.35728556156932
1995,fg2,17,146.42054001998702,124.69955884954173,168.14152119043231,43,479,0.9898263725422326,11.026205405761148
1995,fg2,18,197.4295062438039,168.14152119043231,226.71749129717548,41,462,0.6999457273227498,7.887193317636839
