ratio_name,bin,bin_midpoint,bin_min,bin_max,richness_ratio,lowest_n,lowest_rich
fast:slow,18,197.4295062438039,168.14152119043231,226.71749129717548,1,338,34
fast:slow,19,266.2086202547232,226.71749129717548,305.69974921227094,1.4074074074074074,278,27
fast:slow,20,358.9485221647182,305.69974921227094,412.1972951171655,1.5,129,20
fast:short,1,1.2264253600718122,1.044489395695229,1.4083613244483955,0,0,0
fast:short,2,1.653678870811467,1.4083613244483955,1.8989964171745384,0.2,1,1
fast:short,3,2.2297759788725857,1.8989964171745384,2.5605555405706326,1,19,9
fast:short,4,3.0065697782771243,2.5605555405706326,3.452584015983616,0.7857142857142857,36,11
fast:short,5,4.053977582187368,3.452584015983616,4.655371148391121,0.9130434782608695,111,21
fast:short,6,5.4662740095443425,4.655371148391121,6.277176870697563,1.2083333333333333,255,24
fast:short,7,7.370576413325357,6.277176870697563,8.4639759559531509,1.1111111111111112,453,27
fast:short,8,9.938286403099017,8.4639759559531509,11.412596850244881,1.3548387096774193,677,31
fast:short,9,13.400517285385726,11.412596850244881,15.388437720526571,1.4615384615384615,868,26
fast:short,10,18.068896008060896,15.388437720526571,20.74935429559522,1.3,853,30
fast:short,11,24.363611941023755,20.74935429559522,27.977869586452293,1.6,788,25
fast:short,12,32.851237095392264,27.977869586452293,37.724604604332235,2.0952380952380953,589,21
fast:short,13,44.295721886806945,37.724604604332235,50.866839169281654,2.0555555555555554,378,18
fast:short,14,59.72715644698064,50.866839169281654,68.58747372467963,2.1052631578947367,216,19
fast:short,15,80.5344865212502,68.58747372467963,92.48149931782078,2.9285714285714284,137,14
fast:short,16,108.59052908368125,92.48149931782078,124.69955884954173,3.5,69,10
fast:short,17,146.42054001998702,124.69955884954173,168.14152119043231,4.111111111111111,39,9
fast:short,18,197.4295062438039,168.14152119043231,226.71749129717548,4.25,23,8
fast:short,19,266.2086202547232,226.71749129717548,305.69974921227094,7.6,6,5
fast:short,20,358.9485221647182,305.69974921227094,412.1972951171655,30,1,1
tall:slow,1,1.2264253600718122,1.044489395695229,1.4083613244483955,0.3333333333333333,2,2
tall:slow,2,1.653678870811467,1.4083613244483955,1.8989964171745384,0.2222222222222222,10,4
tall:slow,3,2.2297759788725857,1.8989964171745384,2.5605555405706326,0.25806451612903225,42,8
tall:slow,4,3.0065697782771243,2.5605555405706326,3.452584015983616,0.2857142857142857,121,14
tall:slow,5,4.053977582187368,3.452584015983616,4.655371148391121,0.3333333333333333,236,18
tall:slow,6,5.4662740095443425,4.655371148391121,6.277176870697563,0.38181818181818183,359,21
tall:slow,7,7.370576413325357,6.277176870697563,8.4639759559531509,0.5517241379310345,545,32
tall:slow,8,9.938286403099017,8.4639759559531509,11.412596850244881,0.6379310344827587,680,37
tall:slow,9,13.400517285385726,11.412596850244881,15.388437720526571,0.6440677966101694,795,38
tall:slow,10,18.068896008060896,15.388437720526571,20.74935429559522,0.711864406779661,835,42
tall:slow,11,24.363611941023755,20.74935429559522,27.977869586452293,0.7241379310344828,912,42
tall:slow,12,32.851237095392264,27.977869586452293,37.724604604332235,0.7586206896551724,822,44
tall:slow,13,44.295721886806945,37.724604604332235,50.866839169281654,0.7719298245614035,704,44
tall:slow,14,59.72715644698064,50.866839169281654,68.58747372467963,0.7586206896551724,686,44
tall:slow,15,80.5344865212502,68.58747372467963,92.48149931782078,0.7857142857142857,642,44
tall:slow,16,108.59052908368125,92.48149931782078,124.69955884954173,0.82,527,41
tall:slow,17,146.42054001998702,124.69955884954173,168.14152119043231,0.9347826086956522,479,43
