"fg","year","bin_midpoint","bin_min","bin_max","mean_n_individuals","mean","sd","q025","q25","median","q75","q975","ci_min","ci_max"
"fg2",1995,3.6889813171354,3.16179767422781,4.21616496004298,1061,0.0807904797510601,2.4422991866979,0.0204223611574797,0.0419930871707557,0.0833418343755167,0.151333442670209,0.420969376132414,0.0765248846825547,0.0852938445511233
"fg2",1995,4.91914896842916,4.21616496004298,5.62213297681534,915,0.102437286743482,2.51999608417334,0.0205133658685248,0.0436081629118991,0.107398359365171,0.209390338269999,0.506763950541265,0.0964476921631746,0.108798847126514
"fg2",1995,6.55954164397562,5.62213297681534,7.4969503111359,812,0.127763697268518,2.69051183273576,0.0206305503787443,0.0631199255870318,0.143951868811355,0.270889721153512,0.712354396762404,0.119310226521713,0.136816120592569
"fg2",1995,8.74695742194416,7.4969503111359,9.99696453275241,730,0.137918302607425,2.72166918079094,0.0207000882072787,0.0643536984635964,0.147103367735222,0.293267641849082,0.866757118116135,0.128249788985663,0.148315707531024
"fg2",1995,11.6638125487886,9.99696453275241,13.3306605648247,753,0.178899000346506,2.81954898618588,0.0206945138723778,0.0847468332429263,0.207838039163118,0.392714603006128,0.976736767364896,0.166124020995011,0.192656378850477
"fg2",1995,15.5533537675595,13.3306605648247,17.7760469702942,661,0.185394492512874,3.04505079418976,0.0207789582370762,0.0855696464292107,0.214043387814381,0.430065217480721,1.27183907043671,0.170306254021973,0.20181946958725
"fg2",1995,20.7399435139226,17.7760469702942,23.703840057551,602,0.226548783422707,3.25815314864298,0.0208973429175692,0.104792825004082,0.272974780718877,0.58839021482748,1.38018996025849,0.206150531590447,0.248965408307911
"fg2",1995,27.6561096332728,23.703840057551,31.6083792089945,504,0.275202897938003,3.33104417954165,0.0211011570023602,0.124481672751645,0.316586608014051,0.704653369877578,1.84765325788029,0.24775919586115,0.305686474200212
"fg2",1995,36.8786153893889,31.6083792089945,42.1488515697832,361,0.380984185608411,2.98847363005974,0.0219232003554458,0.211431148288652,0.491018912638241,0.826569566831058,1.7092888888066,0.340299638679218,0.426532776370439
"fg2",1995,49.176557768712,42.1488515697832,56.2042639676407,356,0.4130269331245,2.74418281130221,0.0450502197348357,0.222893157935011,0.496478360046242,0.882251035696672,1.9156116005399,0.371909227557308,0.458690548246597
"fg2",1995,65.5755051659368,56.2042639676407,74.9467463642328,289,0.39512152865317,3.00648716725171,0.0224029666451009,0.220514058311453,0.508382577399332,0.85357165501859,1.97826086652075,0.348028071263568,0.448587442496799
"fg2",1995,87.4430231166713,74.9467463642328,99.9392998691097,168,0.370956741794575,2.95929793616637,0.0319871441347108,0.189885347657349,0.405741574807193,0.876562206591753,2.09998921116973,0.314827531379792,0.437092981289626
"fg2",1995,116.602720366912,99.9392998691097,133.266140864714,60,0.434114327655869,2.86255684571756,0.032397706894991,0.307796383942209,0.510420477059516,0.763191854029516,2.46942461146748,0.332683686194923,0.566469764813442
"fg2",1995,155.486325979643,133.266140864714,177.706511094572,19,0.722985049560946,2.29364789489966,0.191864940685371,0.450918058553339,0.737837868251405,1.1328795504686,3.19940598940024,0.497759661722091,1.05012001189538
"fg2",1995,207.336479719973,177.706511094572,236.966448345373,10,0.945022602718773,2.60794127865867,0.210092660993336,0.519642252993551,1.08768233248773,1.99326442571333,3.21833450739701,0.52170245728109,1.71183345446308
"fg2",1995,276.47714711774,236.966448345373,315.987845890107,3,1.56056202624155,1.37648206834499,1.13628265110229,1.37347517707842,1.637022428163,1.86434748802593,2.06894004190256,1.08705182865155,2.24032909338656
"fg2",2000,1.16673541359231,1,1.33347082718462,809,0.0267557834597693,1.46114193167024,0.0197337785832384,0.0200082355638613,0.0201870998461622,0.0400186275689765,0.0599884706365054,0.0256245245582233,0.0279369846226603
"fg2",2000,1.55580763706853,1.33347082718462,1.77814444695244,833,0.0413962780885862,1.79334129450363,0.0197757312537197,0.0201357387748914,0.0402328417277662,0.0603736440114004,0.118978589527007,0.039556343807688,0.0433217955612596
"fg2",2000,2.07462409674193,1.77814444695244,2.37110374653142,1092,0.0493646475451224,2.01855452445147,0.0198330399084683,0.0201706500403657,0.0407877070852652,0.080706216423576,0.175744494918217,0.0472545097118133,0.0515690130342197
"fg2",2000,2.76645071037962,2.37110374653142,3.16179767422781,1185,0.0612243482868088,2.25828245330531,0.019819336193226,0.0395879683911188,0.0604627554158917,0.118242793345129,0.273812909684172,0.0584002386125654,0.0641850258183354
"fg2",2000,3.6889813171354,3.16179767422781,4.21616496004298,1056,0.0689862675395585,2.40558514356992,0.0198451749581222,0.0398937419682554,0.0609663845369077,0.139757592586786,0.358494026381949,0.0653854948066673,0.0727853344707618
"fg2",2000,4.91914896842916,4.21616496004298,5.62213297681534,964,0.0842128262733533,2.53785224223233,0.0199363679969174,0.0401713516053074,0.0809112177518565,0.161011886289958,0.46816319330225,0.0793728373174178,0.0893479475930205
"fg2",2000,6.55954164397562,5.62213297681534,7.4969503111359,822,0.0954456919338568,2.65255927631771,0.01991465710507,0.040318119942543,0.099927955936738,0.200063842711293,0.598521935546896,0.089269976426829,0.102048644722111
"fg2",2000,8.74695742194416,7.4969503111359,9.99696453275241,776,0.121136686241786,2.81090122616174,0.0199148294631856,0.0600058227585324,0.139821993430683,0.261884516328915,0.697378033025533,0.112624873838984,0.130291793042272
"fg2",2000,11.6638125487886,9.99696453275241,13.3306605648247,756,0.143005428251077,2.8986213761394,0.0199478485703208,0.0605445293457738,0.159986248522511,0.318643612282492,0.892624897017177,0.132558027788681,0.154276227931481
"fg2",2000,15.5533537675595,13.3306605648247,17.7760469702942,675,0.165206066058576,3.09855527443476,0.0199807464526236,0.0797649324172213,0.180920495336463,0.382127433620645,1.13864533711453,0.151695746411478,0.179919641177793
"fg2",2000,20.7399435139226,17.7760469702942,23.703840057551,651,0.185770125722388,3.20300103625746,0.019980776697949,0.0802316766721776,0.199893080278788,0.459576159275659,1.34038510359785,0.169879304431139,0.203147403543207
"fg2",2000,27.6561096332728,23.703840057551,31.6083792089945,530,0.266095876381713,3.15670199978282,0.0200687867238586,0.122218726406299,0.299416959400799,0.656043044322677,1.59432608627632,0.241287984580128,0.293454377973132
"fg2",2000,36.8786153893889,31.6083792089945,42.1488515697832,403,0.378104769621509,3.04792395580962,0.0398598572388794,0.179324816272805,0.466051444243452,0.902201413155934,2.09487882382868,0.339123196292895,0.421567201457549
"fg2",2000,49.176557768712,42.1488515697832,56.2042639676407,362,0.394867282838309,3.06951267955044,0.0214919168985585,0.188125259429431,0.509210596075146,0.90742415288155,2.00540523301543,0.351784308256781,0.443226623236125
"fg2",2000,65.5755051659368,56.2042639676407,74.9467463642328,302,0.400158481238244,2.90146534585555,0.0364927380046589,0.194255684640632,0.463574577774552,0.906426904184583,1.9885917192918,0.354859578072897,0.45123992700573
"fg2",2000,87.4430231166713,74.9467463642328,99.9392998691097,184,0.370668840630866,2.78839515513323,0.0390120093063869,0.18782802444051,0.396989085631166,0.817972441579243,1.82551467748172,0.319621973201624,0.429868409979305
"fg2",2000,116.602720366912,99.9392998691097,133.266140864714,73,0.427551988957847,3.03821608555972,0.0219348864392066,0.252666585843231,0.574392484187702,0.895571237775715,2.29904023452823,0.331343100804331,0.551696120480748
"fg2",2000,155.486325979643,133.266140864714,177.706511094572,28,0.812975611664834,2.7610717502357,0.094629475594042,0.605385276955896,0.951525916975529,1.41765325599892,3.63053615129757,0.55808847735684,1.18427341179312
"fg2",2000,207.336479719973,177.706511094572,236.966448345373,10,0.995254445226769,2.09930006100708,0.299609709380305,0.758775434016308,0.971541690998938,1.74619876241343,2.43353835533028,0.628512528965145,1.57599310291327
