year,model,fg,light_area,q025,q05,q25,q50,q75,q95,q975
1995,3 segment,all,3.760775314675381,113.51876187925333,116.85779404522043,126.04740087768437,132.86001810056064,144.1470110597364,164.0504345453718,170.4902557536115
1995,3 segment,all,3.99416829216043,109.30027769316742,112.53631391682153,120.84110038239474,127.19126352751442,137.6616612341764,156.64731533978076,164.01397514957318
1995,3 segment,all,4.242045591994325,105.08049839769082,108.17076847678626,115.81019092194471,121.56052496629296,131.14468241814058,149.5321955377283,156.09248167891292
1995,3 segment,all,4.505306108377592,101.27498713529941,103.82377553639398,110.95894718597974,116.10514333041965,124.7565624757682,141.99057602348157,148.155915510573
1995,3 segment,all,4.784904520708319,97.35934852937893,99.67471177451586,106.27081011573188,110.90866413998364,118.75694929610867,134.73459344550972,140.15365630745475
1995,3 segment,all,5.081854755600558,93.7296520203022,95.71492878857659,101.78806359313803,105.9717361833828,112.97512931883836,127.11512939922751,132.34728844170115
1995,3 segment,all,5.397233663754914,90.22629152167514,91.88014674795747,97.44547492347805,101.2822489669863,107.48393629443552,120.07802630645787,124.6166601228153
1995,3 segment,all,5.732184925014995,86.61281551840923,88.15075850274125,93.34098788569935,96.78344086105885,102.28977748062205,113.5453775601829,117.79102107709524
1995,3 segment,all,6.087923195770914,83.12881722214799,84.63998014380255,89.36994068689906,92.52582764890208,97.36747204246329,107.40739454067234,111.2020286842459
1995,3 segment,all,6.4657385137498125,79.82092014655922,81.21284338052311,85.56623722804534,88.49160978398054,92.65062162067565,101.37565242860842,104.94880048504835
1995,3 segment,all,6.867000976166844,76.42148814360696,77.86099157365862,81.87342664730544,84.53198375354917,88.20470623369796,95.82994441151799,98.95014165139666
1995,3 segment,all,7.293165708201271,73.30334479140517,74.69258623005372,78.33472346195303,80.85016168480894,84.01494611170925,90.53720450413788,93.3729960778314
1995,3 segment,all,7.745778139815223,70.3051525786135,71.55172161563968,74.9267212671438,77.27459553975808,80.05155984890635,85.74627411862991,88.18610365699872
1995,3 segment,all,8.22647961005079,67.22169123127496,68.47339327133086,71.58571823795943,73.84449439557278,76.38953466117906,81.29178450543843,83.31780782034845
1995,3 segment,all,8.737013319128684,64.27213696450222,65.44021597985416,68.4433727160015,70.53369562506536,72.85293753165072,77.16532583331811,78.78668257337084
1995,3 segment,all,9.279230649932982,61.53407528876054,62.441587664832745,65.39615523785201,67.34646990080458,69.54904350097564,73.23291556328019,74.54712635883276
1995,3 segment,all,9.855097881805975,58.69599815756002,59.54321605254505,62.44393779140803,64.32387855424938,66.35452383829417,69.64813221477233,70.65896996130088
1995,3 segment,all,10.466703320999791,56.0693323244725,56.82082979122036,59.60938496256774,61.41727943200562,63.36096637808447,66.34851027162941,67.3630711659777
1995,3 segment,all,11.11626487364247,53.283058435076384,54.13339199294956,56.87070344722355,58.60007032025344,60.522605895633845,63.341167857523985,64.26456835957141
1995,3 segment,all,11.806138088680799,50.64647534260284,51.51876073042824,54.19746083327149,55.977834581135575,57.814539873013224,60.568701715851766,61.49815187236877
1995,3 segment,all,12.538824699966618,48.146642599609166,48.95662651889827,51.58144393493883,53.42102210362481,55.28971992141413,58.01216640063743,58.94794095640077
1995,3 segment,all,13.316981698463321,45.74955779661726,46.47974362719554,49.08186345549947,50.98344586249192,52.92309945077815,55.63441570460176,56.37840718537148
1995,3 segment,all,14.143430967471712,43.37866346818603,44.173185761688956,46.70964854748796,48.654130899734284,50.6241795750986,53.344536058032176,54.257426608988204
1995,3 segment,all,15.021169515816068,41.15023795049596,41.96143439356769,44.45127087543985,46.428446162793556,48.420447689481804,51.24345748630522,52.1514258745264
1995,3 segment,all,15.953380346099765,38.98994782616369,39.75426197714165,42.30428897641433,44.29622491881227,46.31353998365429,49.219201331374,50.17093095089403
1995,3 segment,all,16.94344399744265,36.95170297133277,37.67522424747665,40.22792733586671,42.24467093779721,44.36636474256374,47.200425769059294,48.30222350314686
1995,3 segment,all,17.994950804558478,35.0058960352159,35.67039224078866,38.27431806066318,40.33402990107514,42.49974636523817,45.34088928424067,46.45673111262977
1995,3 segment,all,19.11171391762827,33.097579791753816,33.7601020574706,36.37743520256145,38.51890105898159,40.69514475450998,43.574012351978226,44.68975956727692
1995,3 segment,all,20.297783130184442,31.284631513829563,31.929565863783736,34.552112920023234,36.81273920447797,38.93993373023986,41.946612442319264,42.89627095248147
1995,3 segment,all,21.557459565150744,29.55561646512772,30.208066129704157,32.81448841041734,35.07844505588875,37.09668629953587,39.890553660295325,40.7649099231119
1995,3 segment,all,22.89531127229491,27.917735331462712,28.544942436126956,31.151401720137784,33.31041083530232,35.05948853749678,37.5254772642227,38.388297255548885
1995,3 segment,all,24.316189793656182,26.370237160911838,26.94808465938281,29.5333432567463,31.447236497903866,32.98803481273361,35.20828426127164,36.026587309998845
1995,3 segment,all,25.825247757020012,24.85422732681468,25.452067646178627,27.951264105778687,29.578241490428347,30.94795354377244,32.93708055139798,33.73575179820599
1995,3 segment,all,27.427957561240333,23.41479643908391,24.043035240459105,26.337013163113124,27.746766693783847,28.988555263811406,30.897100362783654,31.43736814852631
1995,3 segment,all,29.13013122116929,22.102662060910006,22.670150446926023,24.7756678139261,25.959354178201146,27.084122247699362,28.89028106105915,29.467736112579676
1995,3 segment,all,30.937941444159375,20.866548456662326,21.359515381506725,23.244541135376775,24.25248548737693,25.286526435722166,26.91821729288926,27.542736388081256
1995,3 segment,all,32.85794401456916,19.6573289761205,20.105941116466337,21.73258463683712,22.61567760393673,23.607408946574147,25.134168006076568,25.73959750158882
1995,3 segment,all,34.897101567447145,18.496736101576097,18.923728856053202,20.30489480888435,21.110648879473302,22.039181243382487,23.49858809073213,24.03337008410741
1995,3 segment,all,37.06280883760554,17.299799094666604,17.79154290901465,18.95154822892847,19.668861302924334,20.510933008741446,21.917956981368196,22.539668070714143
1995,3 segment,all,39.36291947564684,16.258758968912897,16.669925496127142,17.662495935342598,18.307816021473954,19.104424567877928,20.413105438481093,21.012390086530914
1995,3 segment,all,41.805774528187634,15.234658264252639,15.586408911567567,16.454857495652547,17.049661259725625,17.771648702922995,19.07743460527588,19.497572254308906
1995,3 segment,all,44.40023268555952,14.24639460620374,14.561630166949147,15.316705600810502,15.854665725117858,16.523664176398217,17.763847545882136,18.18769832952944
1995,3 segment,all,47.15570240667638,13.323856016062855,13.590774255106261,14.254103180163348,14.748930487421756,15.365033847109244,16.539201257538704,16.95071333122142
1995,3 segment,all,50.08217603756468,12.425924574481524,12.662947388651624,13.270811786710949,13.709661164521002,14.275113086825336,15.388825755265678,15.815290338843438
1995,3 segment,all,53.19026604728295,11.58372524861843,11.80015991763317,12.340280573848325,12.745648581157669,13.258247479940183,14.336942469851307,14.710808404496673
1995,3 segment,all,56.4912435126354,10.809451547456588,10.988211964324515,11.472858775007401,11.84511570882071,12.320885934431917,13.365587963108172,13.714511384950274
1995,3 segment,all,59.99707899123938,10.062526260187612,10.228408885160675,10.6650477118419,10.993811961741102,11.439628679054277,12.417577156578433,12.720701067346758
1995,3 segment,all,63.72048593116707,9.355981603319417,9.515183090324385,9.904557492165553,10.206676366556612,10.620620594274929,11.545014677639381,11.82511733981835
1995,3 segment,all,67.6749667745814,8.699239787202798,8.848267930709115,9.206335815111315,9.482054552727341,9.85304480642964,10.728126200949989,11.057656025782977
1995,3 segment,all,71.87486192255429,8.088004768889578,8.226503606650715,8.548737859469586,8.799479898978646,9.136539955240817,9.944895249826608,10.321005544375495
1995,3 segment,all,76.33540173863202,7.522264986438176,7.641144801837577,7.938074523293429,8.16363319943309,8.466701402739329,9.253247446979323,9.629457919402487
1995,3 segment,all,81.07276177973158,6.9875060047652235,7.09546280055378,7.370516005781788,7.571144502267311,7.853359819703255,8.57571328513881,8.93040128653641
1995,3 segment,all,86.10412145465567,6.490928525969533,6.5879647141128,6.838771005171065,7.025425374102161,7.278595015564241,7.952696453087672,8.287927580799899
1995,3 segment,all,91.44772632294361,6.026676137757542,6.115522151515515,6.348696070769741,6.51935819266152,6.745878854552481,7.364837167756926,7.674918984336435
1995,3 segment,all,97.1229542599766,5.594191880133033,5.678757549561364,5.891476348291008,6.0481468048840625,6.255376482332888,6.821366044234597,7.123039978352191
1995,3 segment,all,103.15038572827659,5.18959943392476,5.266114285899193,5.466210971195222,5.613397392543976,5.800283298047208,6.311093859258805,6.581198464573837
1995,3 segment,all,109.55187840982805,4.8157025508980915,4.884557790783889,5.072947743871226,5.207151996994222,5.377389211570098,5.826882001542795,6.063289483827694
1995,3 segment,all,116.35064647006696,4.46049296665333,4.528857214546786,4.704391997623668,4.829206370903032,4.987328037849022,5.384935065738802,5.591190403047499
1995,3 segment,all,123.57134474097744,4.138759973039408,4.197350040529549,4.36409760336083,4.478964097240354,4.62476915270164,4.966847889803175,5.150274407571924
1995,3 segment,all,131.2401581285748,3.8347593775839006,3.8914335993849223,4.048010699865815,4.156514798512258,4.289799151908803,4.594385150070014,4.7443338939157504
1995,3 segment,all,139.3848965689995,3.5467363783399946,3.604149803715149,3.7528700957672525,3.8530417804807815,3.978153504777914,4.235337673807667,4.368952706680281
1995,3 segment,all,148.03509587756747,3.286068376912887,3.3360514194919793,3.4781821629107363,3.574895627324052,3.691238905747904,3.9292234397058348,4.033725207921315
1995,3 segment,all,157.22212485649294,3.044952029479547,3.0892257390883167,3.222652266472083,3.3149617682494608,3.422603986827812,3.6292935158701978,3.725121704271361
1995,3 segment,all,166.9792990496953,2.8124035052768273,2.859010180912087,2.9866424319063136,3.0748159075527735,3.1737619275906264,3.366955326159621,3.452671295473949
1995,3 segment,all,177.34200155720706,2.5979476952165874,2.6453629584329414,2.7656627048913425,2.8500212757986683,2.9412473548751636,3.121012814353164,3.2017088984798567
1995,3 segment,all,188.34781134730017,2.3988605938498946,2.4480896047252365,2.5627275114256705,2.6414560147214905,2.729107802704925,2.8975272652027178,2.9619950291746546
1995,3 segment,all,200.0366395316378,2.2168784033691975,2.259700545949143,2.3730742300853183,2.4483953603294264,2.532008104959454,2.6878267570771883,2.7488750905744133
1995,3 segment,all,212.45087409763514,2.0449427815828987,2.0872520818170406,2.196087957009859,2.2704385833657263,2.350797950796532,2.4954316642888665,2.55631976866484
1995,3 segment,all,225.6355336228819,1.8879557476931317,1.9274282030525929,2.032387365655614,2.105639338044839,2.182521830617734,2.3208894765050525,2.371834012472877
1995,3 segment,all,239.63843052905298,1.7381517590987767,1.7774522394620833,1.8801037024576959,1.9519111492397374,2.0260167084963845,2.156783719381786,2.2042740130655747
1995,3 segment,all,254.51034446732228,1.6022079004868457,1.635404273213857,1.7399827085336703,1.8087490326088496,1.8802423474620993,2.0022322438135745,2.050356096690994
1995,3 segment,all,270.30520646404364,1.4708515155329323,1.506317602947852,1.6101241777997872,1.6767686035860532,1.7457929159559828,1.861926445760566,1.9118311982289116
1995,3 segment,all,287.0802944944754,1.349400350123876,1.3892225787341272,1.489500644886366,1.5538742097649543,1.6223119120463434,1.7342334735694325,1.781297673253514
