variable,fg,bin_midpoint,lived,died,mortality
dbh,fg2,7.539360756903146,996,43,0.04138594802694899
dbh,fg2,10.287481494048311,864,27,0.030303030303030304
dbh,fg2,14.03730089364472,764,23,0.029224904701397714
dbh,fg2,19.15394127247929,748,33,0.04225352112676056
dbh,fg2,26.135613181568583,593,20,0.03262642740619902
dbh,fg2,35.662126486627,439,15,0.03303964757709251
dbh,fg2,48.66108389012568,391,13,0.03217821782178218
dbh,fg2,66.3982022005836,306,15,0.04672897196261682
dbh,fg2,90.60055598893476,168,7,0.04
dbh,fg2,123.62474394573245,54,3,0.05263157894736842
dbh,fg2,168.68635240510488,23,1,0.041666666666666664
dbh,fg2,230.1730590457701,6,0,0
dbh,fg2,314.07186387702205,3,0,0
dbh,fg2,428.55204726445334,4,0,0
dbh,fg3,1.168119492592429,21476,3658,0.14553990610328638
dbh,fg3,1.59390272602074,24019,3018,0.11162481044494582
dbh,fg3,2.174885288814169,21737,2278,0.09485738080366438
dbh,fg3,2.9676378252450175,17269,1770,0.09296706759808814
dbh,fg3,4.049351157562346,13093,1326,0.0919619945904709
dbh,fg3,5.525352405796927,8024,684,0.07854846118511713
dbh,fg3,7.539360756903146,5522,302,0.05185439560439561
dbh,fg3,10.287481494048311,3295,185,0.05316091954022988
dbh,fg3,14.03730089364472,1709,98,0.054233536247924735
dbh,fg3,19.15394127247929,1047,53,0.04818181818181818
dbh,fg3,26.135613181568583,817,28,0.033136094674556214
dbh,fg3,35.662126486627,548,24,0.04195804195804196
dbh,fg3,48.66108389012568,273,22,0.07457627118644068
dbh,fg3,66.3982022005836,88,4,0.043478260869565216
dbh,fg3,90.60055598893476,16,0,0
dbh,fg3,123.62474394573245,3,0,0
dbh,fg3,314.07186387702205,1,0,0
dbh,fg4,1.168119492592429,4373,2044,0.31852890758921615
dbh,fg4,1.59390272602074,4218,1314,0.23752711496746204
dbh,fg4,2.174885288814169,2879,711,0.198050139275766
dbh,fg4,2.9676378252450175,1451,312,0.17697107203630175
dbh,fg4,4.049351157562346,756,152,0.16740088105726872
dbh,fg4,5.525352405796927,344,45,0.11568123393316196
dbh,fg4,7.539360756903146,200,35,0.14893617021276595
dbh,fg4,10.287481494048311,117,20,0.145985401459854
dbh,fg4,14.03730089364472,66,7,0.0958904109589041
dbh,fg4,19.15394127247929,25,4,0.13793103448275862
dbh,fg4,26.135613181568583,5,0,0
dbh,fg4,35.662126486627,1,1,0.5
dbh,fg5,1.168119492592429,1951,658,0.25220390954388655
dbh,fg5,1.59390272602074,2491,578,0.18833496252851092
dbh,fg5,2.174885288814169,2477,445,0.15229295003422313
dbh,fg5,2.9676378252450175,2124,291,0.12049689440993788
dbh,fg5,4.049351157562346,1846,249,0.11885441527446301
dbh,fg5,5.525352405796927,1447,143,0.08993710691823899
dbh,fg5,7.539360756903146,1194,94,0.07298136645962733
dbh,fg5,10.287481494048311,872,73,0.07724867724867725
dbh,fg5,14.03730089364472,559,66,0.1056
dbh,fg5,19.15394127247929,336,46,0.12041884816753927
dbh,fg5,26.135613181568583,152,18,0.10588235294117647
dbh,fg5,35.662126486627,64,10,0.13513513513513514
dbh,fg5,48.66108389012568,67,5,0.06944444444444445
dbh,fg5,66.3982022005836,36,4,0.1
dbh,fg5,90.60055598893476,10,2,0.16666666666666666
dbh,fg5,123.62474394573245,3,0,0
dbh,fg5,168.68635240510488,0,1,1
dbh,unclassified,1.168119492592429,0,2,1
dbh,unclassified,1.59390272602074,1,1,0.5
dbh,unclassified,2.174885288814169,2,3,0.6
dbh,unclassified,2.9676378252450175,28,17,0.37777777777777777
dbh,unclassified,4.049351157562346,104,43,0.2925170068027211
dbh,unclassified,5.525352405796927,238,42,0.15
dbh,unclassified,7.539360756903146,403,29,0.06712962962962964
dbh,unclassified,10.287481494048311,817,19,0.022727272727272728
dbh,unclassified,14.03730089364472,182,12,0.061855670103092786
dbh,unclassified,19.15394127247929,9,1,0.1
dbh,unclassified,26.135613181568583,1,0,0
dbh,unclassified,35.662126486627,18,2,0.1
dbh,unclassified,48.66108389012568,7,0,0
dbh,unclassified,66.3982022005836,2,0,0
dbh,unclassified,168.68635240510488,2,0,0
dbh,unclassified,428.55204726445334,1,0,0
light_per_area,all,1.212862857151958,18,2,0.1
light_per_area,all,1.6354113929433816,122,20,0.14084507042253522
light_per_area,all,2.2051713500811063,644,150,0.1889168765743073
light_per_area,all,2.973429624008301,2273,466,0.1701350857977364
light_per_area,all,4.00934091974529,5436,1052,0.1621454993834772
light_per_area,all,5.4061527069453605,9612,1806,0.1581713084603258
light_per_area,all,7.289598883167409,14192,2724,0.16103097659021046
light_per_area,all,9.829217700271036,18663,3344,0.15195165174717135
