"fg","bin_midpoint","bin_value","bin_count","bin_min","bin_max","year"
"fg3",116.602720366912,2.85619437706261,2,99.9392998691097,133.266140864714,1995
"fg3",155.486325979643,0,0,133.266140864714,177.706511094572,1995
"fg3",207.336479719973,0,0,177.706511094572,236.966448345373,1995
"fg3",276.47714711774,0,0,236.966448345373,315.987845890107,1995
"fg4",1.16673541359231,420.30032046043,2769,1,1.33347082718462,1995
"fg4",1.55580763706853,366.56428048158,1980,1.33347082718462,1.77814444695244,1995
"fg4",2.07462409674193,383.479923706375,1760,1.77814444695244,2.37110374653142,1995
"fg4",2.76645071037962,298.10297994786,1164,2.37110374653142,3.16179767422781,1995
"fg4",3.6889813171354,176.07146941993,610,3.16179767422781,4.21616496004298,1995
"fg4",4.91914896842916,111.368290101204,364,4.21616496004298,5.62213297681534,1995
"fg4",6.55954164397562,48.8567888197779,147,5.62213297681534,7.4969503111359,1995
"fg4",8.74695742194416,47.1180134123308,114,7.4969503111359,9.99696453275241,1995
"fg4",11.6638125487886,40.3407859609511,82,9.99696453275241,13.3306605648247,1995
"fg4",15.5533537675595,28.3729913084378,51,13.3306605648247,17.7760469702942,1995
"fg4",20.7399435139226,9.51955616930162,14,17.7760469702942,23.703840057551,1995
"fg4",27.6561096332728,0.741045317460717,1,23.703840057551,31.6083792089945,1995
"fg4",36.8786153893889,0,0,31.6083792089945,42.1488515697832,1995
"fg4",49.176557768712,0,0,42.1488515697832,56.2042639676407,1995
"fg4",65.5755051659368,0,0,56.2042639676407,74.9467463642328,1995
"fg4",87.4430231166713,0,0,74.9467463642328,99.9392998691097,1995
"fg4",116.602720366912,0,0,99.9392998691097,133.266140864714,1995
"fg4",155.486325979643,0,0,133.266140864714,177.706511094572,1995
"fg4",207.336479719973,0,0,177.706511094572,236.966448345373,1995
"fg4",276.47714711774,0,0,236.966448345373,315.987845890107,1995
"fg5",1.16673541359231,206.659241106304,1454,1,1.33347082718462,1995
"fg5",1.55580763706853,226.993856115272,1336,1.33347082718462,1.77814444695244,1995
"fg5",2.07462409674193,304.643566507237,1561,1.77814444695244,2.37110374653142,1995
"fg5",2.76645071037962,342.577441553788,1463,2.37110374653142,3.16179767422781,1995
"fg5",3.6889813171354,359.047945269817,1279,3.16179767422781,4.21616496004298,1995
"fg5",4.91914896842916,368.39398220358,1108,4.21616496004298,5.62213297681534,1995
"fg5",6.55954164397562,332.889253015631,871,5.62213297681534,7.4969503111359,1995
"fg5",8.74695742194416,314.56345020814,744,7.4969503111359,9.99696453275241,1995
"fg5",11.6638125487886,305.735248486085,618,9.99696453275241,13.3306605648247,1995
"fg5",15.5533537675595,209.955251027455,360,13.3306605648247,17.7760469702942,1995
"fg5",20.7399435139226,157.3126354943,228,17.7760469702942,23.703840057551,1995
"fg5",27.6561096332728,78.2069964220326,95,23.703840057551,31.6083792089945,1995
"fg5",36.8786153893889,42.7013921457392,45,31.6083792089945,42.1488515697832,1995
"fg5",49.176557768712,35.2792063979592,35,42.1488515697832,56.2042639676407,1995
"fg5",65.5755051659368,26.6543831370023,22,56.2042639676407,74.9467463642328,1995
"fg5",87.4430231166713,7.13568044923927,5,74.9467463642328,99.9392998691097,1995
"fg5",116.602720366912,13.0036891823387,4,99.9392998691097,133.266140864714,1995
"fg5",155.486325979643,0,0,133.266140864714,177.706511094572,1995
"fg5",207.336479719973,0,0,177.706511094572,236.966448345373,1995
"fg5",276.47714711774,0,0,236.966448345373,315.987845890107,1995
"unclassified",1.16673541359231,21.8868635859241,159,1,1.33347082718462,1995
"unclassified",1.55580763706853,25.7051961001259,157,1.33347082718462,1.77814444695244,1995
"unclassified",2.07462409674193,35.1169271819453,185,1.77814444695244,2.37110374653142,1995
"unclassified",2.76645071037962,46.6356454566556,212,2.37110374653142,3.16179767422781,1995
"unclassified",3.6889813171354,65.7742728711039,256,3.16179767422781,4.21616496004298,1995
