"ratio","dbh","variable","q025","q05","q25","q50","q75","q95","q975"
"fast:slow",3.75501284855729,"density",0.0752174243586335,0.0756448249882058,0.0766314437699693,0.0771618049816849,0.0777118690092332,0.0785073983295214,0.0787830070254211
"fast:slow",3.97735662201565,"density",0.0809604899881983,0.0813144674242594,0.0823454522434616,0.082937415103822,0.0835377147097282,0.0844467766286438,0.0847548326131294
"fast:slow",4.21286593061052,"density",0.0870555156718092,0.0874168973864155,0.0884784768115312,0.0891421925140003,0.0898173070527427,0.0908411114297791,0.0911882842232772
"fast:slow",4.46232033885469,"density",0.0935558787239391,0.0939440921174205,0.0950552284635639,0.0958110272864817,0.0965745982784703,0.0977665051130171,0.0981397335607601
"fast:slow",4.72654557124029,"density",0.1005267583299,0.100903319701693,0.102136735229725,0.102993650824198,0.103840591538913,0.105217297833043,0.105622276964292
"fast:slow",5.00641624548745,"density",0.107927464978768,0.108379669465286,0.109725945593074,0.110686324585142,0.111688519531051,0.113251795055146,0.113703882958
"fast:slow",5.30285876763557,"density",0.115852563271833,0.11638811890432,0.117881160299707,0.118979675975485,0.120112976221404,0.121879227322741,0.122414760285901
"fast:slow",5.6168543985602,"density",0.124429232634376,0.125008186139649,0.126663005930978,0.127880701307194,0.129174379485814,0.131229436833389,0.131805879957591
"fast:slow",5.94944250206614,"density",0.133520927301962,0.134193033547551,0.136067174791903,0.137465457574514,0.138944606791341,0.141328018118514,0.141949001451713
"fast:slow",6.30172398530825,"density",0.143251085212369,0.144019693975809,0.146174763129394,0.147763382761,0.149457534592623,0.152183893011495,0.15291174233593
"fast:slow",6.67486494292836,"density",0.153723914721801,0.154563780579442,0.157038263143471,0.158833753335705,0.16079263883913,0.163836399140652,0.164646037055873
"fast:slow",7.07010051697063,"density",0.164955853618291,0.165895681446542,0.168712495554612,0.170725698219209,0.172965292529343,0.176400790584472,0.177397126247816
"fast:slow",7.48873898535221,"density",0.176972831980912,0.178020238626077,0.18126854811571,0.183501282856009,0.186082163068686,0.18986959228993,0.19106776453826
"fast:slow",7.93216609242261,"density",0.189819124276653,0.191098764623555,0.194730972815569,0.19724218645676,0.200112999143524,0.204363625340257,0.205665515492102
"fast:slow",8.4018496359464,"density",0.203556838046443,0.205085176641649,0.209063473276807,0.211904796664811,0.214964055941119,0.21942309704486,0.220801521158452
"fast:slow",8.89934432569262,"density",0.217924372551479,0.219506729997264,0.224053123643816,0.22722018203971,0.230360516659717,0.235222795376541,0.236509191727253
"fast:slow",9.42629692971367,"density",0.231186636959485,0.233579842256799,0.23905143460069,0.24278310289657,0.246220818495131,0.251312498449157,0.252912955374585
"fast:slow",9.98445172534819,"density",0.242602962099808,0.245511028092472,0.252785139387661,0.257649490263606,0.262273943457164,0.267728186318771,0.269545095021243
"fast:slow",10.5756562729917,"density",0.253758727751834,0.256402486665893,0.264434781746455,0.270922574213745,0.276721904270275,0.283518555037987,0.285381873350013
"fast:slow",11.2018675317465,"density",0.265101363107341,0.267635639054416,0.275650173844791,0.282437428215367,0.288736398143281,0.297485620489434,0.300484320287678
"fast:slow",11.865158337195,"density",0.277026933741167,0.279384085387121,0.287187452730097,0.29369551620663,0.299890234856955,0.309265268575387,0.31310446653181
"fast:slow",12.5677242627381,"density",0.289101095282708,0.291649041946666,0.299240304182623,0.305513277974554,0.311376488490149,0.32059822300316,0.324435343907923
"fast:slow",13.3118908872106,"density",0.301583585874748,0.30412568966602,0.311789267249687,0.317654336545314,0.323368104849663,0.332388784754192,0.335680385546597
"fast:slow",14.1001214928303,"density",0.314661851118988,0.317205816748056,0.324894023066213,0.330407071035046,0.335863037105705,0.344673414301665,0.347509735426826
"fast:slow",14.9350252189632,"density",0.328168912726925,0.330469098450377,0.338240728689376,0.343557566966421,0.34900895746642,0.357087053200298,0.360051225794582
"fast:slow",15.8193656986918,"density",0.341767651706063,0.344070355500586,0.35197784457219,0.357244929112943,0.362661144551955,0.370744690352864,0.374077623028961
"fast:slow",16.7560702067779,"density",0.355451560030255,0.357736422185453,0.366018317462617,0.371535067414604,0.377111911942089,0.385545601899478,0.388407827350313
"fast:slow",17.7482393492988,"density",0.369301922500609,0.371702080779184,0.380526276368304,0.386430514735426,0.39248602969361,0.401076764555616,0.404016669997679
"fast:slow",18.7991573270313,"density",0.383211437960717,0.386122895669671,0.3955449760224,0.401985635470536,0.408489533629754,0.417811747034044,0.420674531126819
"fast:slow",19.9123028065563,"density",0.396937177632276,0.400596264939981,0.411007832879629,0.418089257054908,0.424959476467701,0.4354451130605,0.438548718767049
"fast:slow",21.0913604350691,"density",0.411032843754038,0.415405207763207,0.426859793058765,0.434853163164423,0.442535358201869,0.454045712108177,0.457844461927674
"fast:slow",22.3402330370112,"density",0.426064339624768,0.43034276104074,0.443280976389062,0.452260871851586,0.460792095603349,0.473888223575016,0.477901168515938
"fast:slow",23.6630545328941,"density",0.441450058570515,0.44582163534684,0.460247366905092,0.470444568546009,0.479878214715535,0.494841022294908,0.499395964480455
"fast:slow",25.0642036230806,"density",0.456362429839518,0.461651940552763,0.477839045941064,0.489162861385469,0.500014761141768,0.516982319534106,0.52138918530967
"fast:slow",26.5483182818163,"density",0.472002494459616,0.477440544606641,0.496212580789967,0.508751169955356,0.520868886366366,0.540002959762965,0.544785613079032
"fast:slow",28.1203111094894,"density",0.487956917545571,0.493955045784752,0.515272600916647,0.528974873355622,0.543011910595414,0.564014497608794,0.570013890326508
"fast:slow",29.7853855939374,"density",0.504391085801836,0.511103941885859,0.534903875484352,0.549992589248497,0.565962273582237,0.589267265094668,0.596347278935706
"fast:slow",31.5490533346251,"density",0.52026970809678,0.528929530419915,0.555041911164607,0.572202117660263,0.589888705340985,0.615500079300075,0.6238652590487
"fast:slow",33.4171522867112,"density",0.537049891210546,0.547558487609032,0.575922844091685,0.594986187195814,0.61492189079261,0.643276235480337,0.653205160617959
"fast:slow",35.395866085391,"density",0.555021880612794,0.56643075101266,0.597713628102526,0.618697512771432,0.641110494632897,0.672277990851632,0.682973894515178
"fast:slow",37.4917445144825,"density",0.572526667657229,0.585689938299448,0.620026707699796,0.643599829433426,0.667790493140096,0.702591751560594,0.713604798510549
"fast:slow",39.7117251870093,"density",0.590055938686596,0.603420801559841,0.640181604435824,0.664499737218152,0.690058571190186,0.724230662757989,0.735624455259326
"fast:slow",42.0631565095448,"density",0.568474794708825,0.581415435246407,0.631624073268612,0.66354921576284,0.690572514616045,0.730819936603656,0.744575045096806
"fast:slow",44.5538220063341,"density",0.510618602985487,0.524414165510637,0.574681304329545,0.622781229615615,0.668721043994688,0.723307172868233,0.74631795076178
"fast:slow",47.191966083707,"density",0.458573464269325,0.471496113107623,0.517315334807865,0.562002333421561,0.624413104716147,0.73215230741107,0.777297537356145
"fast:slow",49.9863213200684,"density",0.427433644843624,0.441617520347712,0.495693937919093,0.550385017356797,0.621727190200887,0.758020622950707,0.808271429388033
"fast:slow",52.9461373717968,"density",0.445477790331819,0.464023985036796,0.530542802163117,0.584875988179358,0.650854600679867,0.778425176042976,0.828261450744294
"fast:slow",56.081211590734,"density",0.490074439153743,0.507979563700818,0.572773741308408,0.624605662443199,0.686173343818789,0.794903088185801,0.845424485032243
