sp,Genus,Species,Family,wsg,idlevel
gar2m1,Garcinia,magnifolia,Clusiaceae,0.732410857,genus
gar2ma,Garcinia,madruno,Clusiaceae,0.649363441,species
geniam,Genipa,americana,Rubiaceae,0.68095339,species
geniwi,Genipa,williamsii,Rubiaceae,0.65638103,genus
gmelar,Gmelina,arborea,Lamiaceae,0.42975,species
gordbr,Gordonia,brandegeei,Theaceae,0.5902,genus
griaca,Grias,cauliflora,Lecythidaceae,0.62,genus
guapco,Guapira,costaricana,Nyctaginaceae,0.584672563,genus
guapst,Guapira,standleyana,Nyctaginaceae,0.51103538,species
guar1,Guarea,sp.1,Meliaceae,0.559769305,genus
guar2,Guarea,sherman,Meliaceae,0.559769305,genus
guar4,Guarea,sp.4,Meliaceae,0.559769305,genus
guar6,Guarea,sp.6,Meliaceae,0.559769305,genus
guar8,Guarea,sp.8,Meliaceae,0.559769305,genus
guargl,Guarea,glabra,Meliaceae,0.649197417,species
guargr,Guarea,grandifolia,Meliaceae,0.579283823,species
guargu,Guarea,guidonia,Meliaceae,0.560028931,species
guarku,Guarea,kunthiana,Meliaceae,0.616166667,species
guarm1,Guarea,cf.macrophylla,Meliaceae,0.559769305,genus
guarma,Guarea,macropetala,Meliaceae,0.559769305,genus
guarpt,Guarea,pterorhachis,Meliaceae,0.669895649,species
guarrh,Guarea,rhopalocarpa,Meliaceae,0.559769305,genus
guarsp,Guarea,bullata,Meliaceae,0.667748457,species
guat5,Guatteria,sp.5,Annonaceae,0.557281878,genus
guat7,Guatteria,sp.7,Annonaceae,0.557281878,genus
guata1,Guatteria,alata,Annonaceae,0.557281878,genus
guatab,Guatteria,aberrans,Annonaceae,0.453523593,species
guatal,Guatteria,allenii,Annonaceae,0.557281878,genus
guatam,Guatteria,amplifolia,Annonaceae,0.469577975,species
guatdu,Guatteria,dumetorum,Annonaceae,0.446201315,species
guatse,Guatteria,sessilicarpa,Annonaceae,0.557281878,genus
guazul,Guazuma,ulmifolia,Malvaceae,0.494623918,species
guetcr,Guettarda,crispiflora,Rubiaceae,0.443869531,species
guetfo,Guettarda,foliacea,Rubiaceae,0.61838453,species
guetra,Guettarda,ramuliflora,Rubiaceae,0.730838453,genus
gust1,Gustavia,sp.1,Lecythidaceae,0.639191663,genus
gustdu,Gustavia,dubia,Lecythidaceae,0.639191663,genus
gustfo,Gustavia,fosteri,Lecythidaceae,0.639191663,genus
gustsu,Gustavia,superba,Lecythidaceae,0.612491625,species
gyrada,Gyranthera,darienensis,Malvaceae,0.37,genus
