sp,Genus,Species,Family,wsg,idlevel
stemgr,Stemmadenia,grandiflora,Apocynaceae,0.482626224,species
ster2,Sterculia,sp.2,Malvaceae,0.42672816,genus
sterap,Sterculia,apetala,Malvaceae,0.439252787,species
stergl,Sterculia,costaricana,Malvaceae,0.42672816,genus
sterre,Sterculia,recordiana,Malvaceae,0.49,species
stylst,Stylogyne,turbacensis,Myrsinaceae,0.569245822,species
swarpa,Swartzia,panamensis,Fabaceae-papilionoideae,0.839534597,genus
swars1,Swartzia,simplex,Fabaceae-papilionoideae,0.77270353,species
swiema,Swietenia,macrophylla,Meliaceae,0.571729944,species
sympgl,Symphonia,globulifera,Clusiaceae,0.54475073,species
tab1gu,Tabebuia,guayacan,Bignoniaceae,0.789818795,species
tab1oc,Tabebuia,ochracea,Bignoniaceae,0.87,species
tab1ro,Tabebuia,rosea,Bignoniaceae,0.488671865,species
tab2ar,Tabernaemontana,arborea,Apocynaceae,0.537870046,species
tab2pa,Tabernaemontana,panamensis,Apocynaceae,0.525491878,genus
tab2pe,Tabernaemontana,longipes,Apocynaceae,0.525491878,genus
tab2un,Tabernaemontana,undulata,Apocynaceae,0.585,species
tachve,Tachigali,versicolor,Fabaceae-caesalpinioideae,0.582163046,species
taline,Talisia,nervosa,Sapindaceae,0.663137474,species
talipr,Talisia,croatii,Sapindaceae,0.725307436,species
tapigu,Tapirira,guianensis,Anacardiaceae,0.494204414,species
tapucu,Tapura,cubensis,Dichapetalaceae,0.66025,genus
term1,Terminalia,sp.1,Combretaceae,0.555802789,genus
termam,Terminalia,amazonia,Combretaceae,0.665053959,species
termob,Terminalia,oblonga,Combretaceae,0.634250897,species
ternte,Ternstroemia,tepezapote,Pentaphylacaceae,0.62675041,species
tet2pa,Tetragastris,panamensis,Burseraceae,0.588927298,species
tet4jo,Tetrathylacium,johansenii,Salicaceae,0.590028523,species
tet4ma,Tetrathylacium,macrophyllum,Salicaceae,0.62,species
tet5eu,Tetrorchidium,euryphyllum,Euphorbiaceae,0.4545,genus
tet5go,Tetrorchidium,gorgonae,Euphorbiaceae,0.388731214,species
theobe,Theobroma,bernoullii,Malvaceae,0.592888436,species
theoca,Theobroma,cacao,Malvaceae,0.412669457,species
theoch,Theobroma,simiarum,Malvaceae,0.515083682,genus
theosp,Theobroma,speciosum,Malvaceae,0.63,species
thevah,Thevetia,ahouai,Apocynaceae,0.45702219,species
tocopi,Tocoyena,pittieri,Rubiaceae,0.635174452,species
tovo1,Tovomita,sp.1,Clusiaceae,0.678571429,genus
tovolo,Tovomita,longifolia,Clusiaceae,0.738390712,species
tovost,Tovomita,stylosa,Clusiaceae,0.724694433,species
tovowe,Tovomita,weddelliana,Clusiaceae,0.497398285,species
tratas,Trattinnickia,aspera,Burseraceae,0.438656897,species
tratbu,Trattinnickia,burserifolia,Burseraceae,0.46,species
tremin,Trema,integerrima,Cannabaceae,0.3,species
tremmi,Trema,micrantha,Cannabaceae,0.402906778,species
tri1gi,Trichanthera,gigantea,Acanthaceae,0.541938859,species
tri2hi,Trichilia,hirta,Meliaceae,0.644739229,species
tri2pa,Trichilia,pallida,Meliaceae,0.57316595,species
tri2pl,Trichilia,pleeana,Meliaceae,0.684511761,species
tri2po,Trichilia,poeppigii,Meliaceae,0.634016716,genus
tri2qu,Trichilia,quadrijuga,Meliaceae,0.54825,species
tri2se,Trichilia,septentrionalis,Meliaceae,0.634016716,genus
tri2to,Trichilia,martiana,Meliaceae,0.509015724,species
tri2tu,Trichilia,tuberculata,Meliaceae,0.691552827,species
tri4ga,Trichospermum,galeottii,Malvaceae,0.296052163,species
tripcu,Triplaris,cumingiana,Polygonaceae,0.528769755,species
tropra,Trophis,racemosa,Moraceae,0.631037454,species
turnpa,Turnera,panamensis,Turneraceae,0.510530811,species
turpoc,Turpinia,occidentalis,Tapisciaceae,0.406660348,species
unon1,Unonopsis,sp.1,Annonaceae,0.529844586,genus
unon2,Unonopsis,sp.2,Annonaceae,0.529844586,genus
unon3,Unonopsis,peludo,Annonaceae,0.529844586,genus
unonpa,Unonopsis,panamensis,Annonaceae,0.529844586,genus
unonpi,Unonopsis,pittieri,Annonaceae,0.42829045,species
unonth,Unonopsis,theobromifolia,Annonaceae,0.529844586,genus
unonve,Unonopsis,aff.veneficiorum,Annonaceae,0.529844586,genus
urerba,Urera,baccifera,Urticaceae,0.165,species
urerca,Urera,caracasana,Urticaceae,0.315666667,species
vantde,Vantanea,depleta,Humiriaceae,0.798495723,species
vataer,Vatairea,erythrocarpa,Fabaceae-papilionoideae,0.720448179,species
verbgi,Verbesina,gigantea,Asteraceae,0.238919739,species
vernpa,Vernonanthura,patens,Asteraceae,0.54,species
viroel,Virola,elongata,Myristicaceae,0.562108301,species
virogu,Virola,guatemalensis,Myristicaceae,0.52,species
viroko,Virola,koschnyi,Myristicaceae,0.388440241,species
viroma,Virola,macrocarpa,Myristicaceae,0.517152386,species
virome,Virola,megacarpa,Myristicaceae,0.47185825,genus
virose,Virola,sebifera,Myristicaceae,0.487343249,species
virosp,Virola,multiflora,Myristicaceae,0.447981976,species
virosu,Virola,surinamensis,Myristicaceae,0.407319298,species
vismba,Vismia,baccifera,Clusiaceae,0.531295827,species
vismbi,Vismia,billbergiana,Clusiaceae,0.461491043,species
vismje,Vismia,jefensis,Clusiaceae,0.491978687,genus
vismma,Vismia,macrophylla,Clusiaceae,0.539254394,species
viteco,Vitex,cooperi,Lamiaceae,0.559857548,species
vitecy,Vitex,cymosa,Lamiaceae,0.5625,species
voch1,Vochysia,sp.1,Vochysiaceae,0.465125001,genus
vochfe,Vochysia,ferruginea,Vochysiaceae,0.388750068,species
vochho,Vochysia,guatemalensis,Vochysiaceae,0.353,species
warsco,Warszewiczia,coccinea,Rubiaceae,0.5565,species
welfre,Welfia,regia,Arecaceae,0.4,species
ximeam,Ximenia,americana,Olacaceae,0.866666667,species
xyl1ar,Xylopia,aromatica,Annonaceae,0.508428289,species
xyl1bo,Xylopia,bocatorena,Annonaceae,0.593959184,genus
xyl1fr,Xylopia,frutescens,Annonaceae,0.610764184,species
xyl1ma,Xylopia,macrantha,Annonaceae,0.840426465,species
xyl1se,Xylopia,sericea,Annonaceae,0.51396972,species
xyl2ch,Xylosma,chlorantha,Salicaceae,0.65125,genus
xyl2ol,Xylosma,oligandra,Salicaceae,0.621,species
zantbe,Zanthoxylum,ekmanii,Rutaceae,0.435442308,species
zantp1,Zanthoxylum,panamense,Rutaceae,0.55206339,species
zantpr,Zanthoxylum,acuminatum,Rutaceae,0.579137381,species
zantse,Zanthoxylum,setulosum,Rutaceae,0.598394854,species
zizici,Ziziphus,chloroxylon,Rhamnaceae,0.774588235,genus
zuelgu,Zuelania,guidonia,Salicaceae,0.618291782,species
zygi1,Zygia,sp.1,Fabaceae-mimosoideae,0.809857143,genus
zygi2,Zygia,sp.2,Fabaceae-mimosoideae,0.809857143,genus
abutra,Abuta,racemosa,Menispermace,0.497156052,species
acacha,Acacia,hayesii,Fabaceae,0.385288834,species
aegice,Aegiphila,cephalophora,Verbenaceae,0.445944848,species
aegiel,Aegiphila,elata,Verbenaceae,0.331979554,species
albini,Albizia,niopoides,Fabaceae:Mim,0.692381671,species
alloge,Allophylus,gentryi,Sapindaceae,0.482732692,species
allooc,Allophylus,racemosus,Sapindaceae,0.545735674,species
amangu,Amanoa,guianensis,Euphorbiacea,0.762309836,species
amphpa,Amphilophium,paniculatum,Bignoniaceae,0.485118998,species
anthpa,Anthodon,panamense,Hippocrateac,0.476417208,species
arraca,Arrabidaea,candicans,Bignoniaceae,0.490663613,species
arrapa,Arrabidaea,patellifera,Bignoniaceae,0.400390672,species
arrave,Arrabidaea,verrucosa,Bignoniaceae,0.416405332,species
banico,Banisteriops,cornifolia,Malpighiacea,0.424995392,species
bauhgu,Bauhinia,guianensis,Fabaceae,0.532358956,species
browma,Brownea,macrophylla,Fabaceae:Cae,0.799331848,species
bucibu,Bucida,buceras,Combretaceae,0.804662467,species
buncco,Bunchosia,nitida,Malpighiacea,0.74351876,species
callla,Callichlamys,latifolia,Bignoniaceae,0.419783946,species
casec2,Casearia,corymbosa,Flacourtiace,0.600979801,species
cayagr,Cayaponia,granatensis,Cucurbitacea,0.227295222,species
celtig,Celtis,iguanaeus,Ulmaceae,0.495123977,species
cerate,Ceratophytum,tetragonolob,Bignoniaceae,0.490311111,species
chioal,Chiococca,alba,Rubiaceae,0.609501186,species
chloma,Chloroleucon,mangense,Fabaceae:Mim,0.635487776,species
cisser,Cissus,erosa,Vitaceae,0.316500143,species
cletla,Clethra,lanata,Clethraceae,0.496244169,species
clitgl,Clitoria,glaberrima,Fabaceae:Pap,0.674298859,species
clitja,Clitoria,javitensis,Fabaceae,0.444845188,species
cnesru,Cnestidium,rufescens,Connaraceae,0.583898924,species
cocca2,Coccoloba,acuminata,Polygonaceae,0.532775699,species
coccp1,Coccoloba,parimensis,Polygonaceae,0.575072593,species
cochvi,Cochlospermu,vitifolium,Cochlosperma,0.258052,species
combde,Combretum,decandrum,Combretaceae,0.410958915,species
combfr,Combretum,fruticosum,Combretaceae,0.538761135,species
combla,Combretum,laxum,Combretaceae,0.658373154,species
connpa,Connarus,panamensis,Connaraceae,0.66453482,species
conntu,Connarus,turczaninowi,Connaraceae,0.55012762,species
conoxa,Conostegia,xalapensis,Melastomatac,0.592810011,species
cordcy,Cordia,cymosa,Boraginaceae,0.2864365,species
corder,Cordia,eriostigma,Boraginaceae,0.319931171,species
cosmma,Cosmibuena,macrocarpa,Rubiaceae,0.497091347,species
crypas,Cryptocarya,aschersonian,Lauraceae,0.640339637,species
cydiae,Cydista,aequinoctial,Bignoniaceae,0.446565066,species
davini,Davilla,nitida,Dilleniaceae,0.49861293,species
diocwi,Dioclea,wilsonii,Fabaceae,0.342365495,species
dolide,Doliocarpus,dentatus,Dilleniaceae,0.443362927,species
dolima,Doliocarpus,major,Dilleniaceae,0.458365725,species
dolimu,Doliocarpus,multiflorus,Dilleniaceae,0.61077951,species
doliol,Doliocarpus,olivaceus,Dilleniaceae,0.425089744,species
ela1au,Elaeagia,auriculata,Rubiaceae,0.418232934,species
forsvi,Forsteronia,viridescens,Apocynaceae,0.307537035,species
goualu,Gouania,lupuloides,Rhamnaceae,0.38544057,species
hedybo,Hedyosmum,bonplandianu,Chloranthace,0.329357132,species
hetela,Heteropteris,laurifolia,Malpighiacea,0.603148161,species
hippvo,Hippocratea,volubilis,Hippocrateac,0.555385814,species
hiragr,Hiraea,grandifolia,Malpighiacea,0.537462863,species
hiraqu,Hiraea,smilacina,Malpighiacea,0.5736,species
hirare,Hiraea,reclinata,Malpighiacea,0.665332403,species
hylepr,Hylenaea,praecelsa,Hippocrateac,0.57797894,species
iserla,Isertia,laevis,Rubiaceae,0.504180357,species
lennvi,Lennea,viridiflora,Fabaceae:Pap,0.827749756,species
loncfe,Lonchocarpus,ferruginea,Fabaceae:Pap,0.734351032,species
loncmi,Lonchocarpus,minimiflorus,Fabaceae:Pap,0.759597723,species
machar,Machaerium,pittieri,Fabaceae,0.602815116,species
machfl,Machaerium,floribundum,Fabaceae,0.400072165,species
machke,Machaerium,kegelii,Fabaceae,0.419773827,species
machm1,Machaerium,isadelphum,Fabaceae,0.420769803,species
machm2,Machaerium,milleflorum,Fabaceae,0.423910158,species
machse,Machaerium,seemanii,Fabaceae,0.503974164,species
manich,Manilkara,chicle,Sapotaceae,0.818228788,species
manske,Mansoa,kerere,Bignoniaceae,0.506405626,species
mar2pa,Maripa,panamensis,Convolvulace,0.45749685,species
maschi,Mascagnia,hiraea,Malpighiacea,0.654949034,species
mascne,Mascagnia,ovatifolia,Malpighiacea,0.365083838,species
mendgr,Mendoncia,gracilis,Acanthaceae,0.243684097,species
mendli,Mendoncia,litoralis,Acanthaceae,0.276470588,species
mikale,Mikania,leiostachya,Asteraceae,0.146212766,species
moripa,Morinda,panamensis,Rubiaceae,0.486991856,species
myrsco,Myrsine,coriacea,Myrsinaceae,0.593667175,species
odo1ma,Odontadenia,macrantha,Apocynaceae,0.284104308,species
odo1pu,Odontadenia,puncticulosa,Apocynaceae,0.256284622,species
omphdi,Omphalea,diandra,Euphorbiacea,0.217898757,species
par1py,Paragonia,pyramidata,Bignoniaceae,0.434872755,species
paulba,Paullinia,baileyi,Sapindaceae,0.31202847,species
paulbr,Paullinia,bracteosa,Sapindaceae,0.469978157,species
paulfi,Paullinia,fibrigera,Sapindaceae,0.466898063,species
paulfu,Paullinia,fuscescens,Sapindaceae,0.485233841,species
paulg2,Paullinia,glomerulosa,Sapindaceae,0.659175,species
paulpt,Paullinia,pterocarpa,Sapindaceae,0.513297645,species
paulru,Paullinia,rugosa,Sapindaceae,0.435081648,species
paultu,Paullinia,turbacensis,Sapindaceae,0.705464407,species
petras,Petrea,volubilis,Verbenaceae,0.449905569,species
phryco,Phryganocydi,corymbosa,Bignoniaceae,0.478390227,species
pit2cr,Pithecocteni,crucigerum,Bignoniaceae,0.355704941,species
pleova,Pleonotoma,variabilis,Bignoniaceae,0.451530678,species
pri1as,Prionostemma,aspera,Hippocrateac,0.416476899,species
psycmi,Psychotria,micrantha,Rubiaceae,0.47588108,species
psycne,Psychotria,nervosa,Rubiaceae,0.667318984,species
randla,Randia,lasiantha,Rubiaceae,0.781566973,species
rhycpy,Rhynchosia,pyramidalis,Fabaceae,0.296313725,species
rollmu,Rollinia,mucosa,Annonaceae,0.354677709,species
rondbu,Rondeletia,buddleioides,Rubiaceae,0.337411046,species
rourgl,Rourea,glabra,Connaraceae,0.476217344,species
serjci,Serjania,circumvallat,Sapindaceae,0.325377155,species
serjme,Serjania,mexicana,Sapindaceae,0.32238713,species
serjrh,Serjania,rhombea,Sapindaceae,0.346907349,species
serjtr,Serjania,trachygona,Sapindaceae,0.346695435,species
sideca,Sideroxylon,capiri,Sapotaceae,0.867103409,species
smilpa,Smilax,panamensis,Smilacaceae,0.585200854,species
stigli,Stigmaphyllo,lindenianum,Malpighiacea,0.244730019,species
stizri,Stizophyllum,riparium,Bignoniaceae,0.398936321,species
strypa,Strychnos,panamensis,Loganiaceae,0.635406161,species
stryto,Strychnos,toxifera,Loganiaceae,0.686087786,species
swars2,Swartzia,simplex_var.,Fabaceae:Pap,0.783510667,species
tet1po,Tetracera,portobellens,Dilleniaceae,0.57220594,species
tet3ma,Tetrapterys,tinifolia,Malpighiacea,0.567186471,species
thinmy,Thinouia,myriantha,Sapindaceae,0.580695229,species
tynncr,Tynnanthus,croatianus,Bignoniaceae,0.494260909,species
uncato,Uncaria,tomentosa,Rubiaceae,0.334259454,species
zygilo,Zygia,longifolia,Fabaceae:Mim,0.685838561,species
