tag,sp,eqn,n,k,nll,sd,DBH,b1,b2,b3,AICc,AICcdiff,fit.prob,diam.2010,hom.2010,spb
1091,cavapl,4,19,3,48.30171757,3.073700345,207.5969377,1.00247391,NA,NA,104.2034351,9.08390835,,188.3,3.5,cavapl
1091,cavapl,5,19,3,43.75976339,2.421573243,206.3490598,1.230261696,NA,NA,95.11952679,0,,188.3,3.5,cavapl
1091,cavapl,9,19,4,42.31787659,2.236052757,220.273815,0.810821875,1.067705692,NA,95.49289604,0.373369248,,188.3,3.5,cavapl
1091,cavapl,11,19,5,43.48588719,2.333571462,183.0202084,1.130849405,54.77807718,-0.012668398,101.587159,6.467632207,,188.3,3.5,cavapl
109843,tab2ar,1,11,3,21.98145156,1.786495026,60.80670535,0.08697478,NA,NA,53.39147454,0,,43.7,5,tab2ar
109843,tab2ar,4,11,3,23.93670674,2.13380408,45.89594534,1.632209534,NA,NA,57.30198491,3.910510363,,43.7,5,tab2ar
109843,tab2ar,5,11,3,22.117101,1.807131266,59.41224004,1.434237408,NA,NA,53.66277343,0.271298884,,43.7,5,tab2ar
109843,tab2ar,9,11,4,21.99243809,1.788153234,93.05735515,0.339386317,1.270491424,NA,58.65154286,5.26006831,,43.7,5,tab2ar
109843,tab2ar,11,11,5,22.06379901,1.800260419,40.95004495,1.463580744,4.386085143,-0.047153204,66.12759802,12.73612347,,43.7,5,tab2ar
1101,quaras,1,19,3,40.88459148,2.080655121,56.50684374,0.068938198,NA,NA,89.36918295,0.66805103,,53,4,quaras
1101,quaras,4,19,3,44.40223122,2.504158702,51.40703556,1.134981638,NA,NA,96.40446244,7.703330515,,53,4,quaras
1101,quaras,5,19,3,42.29079696,2.242480061,55.05523773,1.319885684,NA,NA,92.18159392,3.480462004,,53,4,quaras
1101,quaras,9,19,4,38.92199453,1.874287069,578.9307186,0.006362376,1.773013422,NA,88.70113192,0,,53,4,quaras
1101,quaras,11,19,5,41.9154897,2.196998528,59.37209932,0.937603434,7.941395076,-0.032222928,98.44636401,9.745232085,,53,4,quaras
113051,alsebl,1,21,3,35.94973213,1.341068931,40.98842285,0.069229053,NA,NA,79.31122897,0,,32.2,2.700000048,alsebl
113051,alsebl,4,21,3,37.93801089,1.473542746,31.75620012,1.772812059,NA,NA,83.28778649,3.976557525,,32.2,2.700000048,alsebl
113051,alsebl,5,21,3,37.77350919,1.461781823,40.01596011,1.050570097,NA,NA,82.95878309,3.647554121,,32.2,2.700000048,alsebl
113051,alsebl,11,21,5,37.67124324,1.451962773,23.29273713,1.724418585,9.749520236,-0.008053034,89.34248649,10.03125752,,32.2,2.700000048,alsebl
113051,alsebl,9,21,4,35.25749118,1.305702471,97.67031357,0.076896857,2.01210013,NA,81.01498237,1.7037534,,32.2,2.700000048,alsebl
1158,ceibpe,1,12,3,48.56559467,22.71764691,219.9879535,0.016585871,NA,NA,106.1311893,55.10444376,,220,15.5,ceibpe
1158,ceibpe,4,12,3,24.81054262,1.911508635,233.5894817,1.277016183,NA,NA,58.62108524,7.594339661,,220,15.5,ceibpe
1158,ceibpe,5,12,3,21.01337279,1.393533171,236.5204744,0.785307495,NA,NA,51.02674558,0,,220,15.5,ceibpe
1158,ceibpe,9,12,4,21.80572974,1.449805829,210.2886938,2.084643259,0.603538238,NA,57.3257452,6.298999622,,220,15.5,ceibpe
1158,ceibpe,11,12,5,22.67818682,1.599343913,219.3677733,2.348865785,0.116672106,-0.038197085,65.35637363,14.32962806,,220,15.5,ceibpe
1164,anacex,1,15,3,20.55085666,0.952699346,143.3570504,0.025708455,NA,NA,49.2835315,0,,135.6,3.799999952,anacex
1164,anacex,4,15,3,24.33872335,1.225303652,157.0967382,0.907704328,NA,NA,56.85926488,7.575733376,,135.6,3.799999952,anacex
1164,anacex,5,15,3,21.22190193,0.995423597,143.129936,0.862193027,NA,NA,50.62562205,1.34209055,,135.6,3.799999952,anacex
1164,anacex,9,15,4,19.32897221,0.875658538,171.4041941,0.237119617,3.55025633,NA,50.65794442,1.374412918,,135.6,3.799999952,anacex
1164,anacex,11,15,5,21.32755787,1.000420134,133.3889224,1.07285819,30.97601558,0.008546163,59.3217824,10.0382509,,135.6,3.799999952,anacex
120,cavapl,1,18,3,20.46576259,0.756229605,164.5837368,0.017496452,NA,NA,48.6458109,0,,160,3,cavapl
120,cavapl,4,18,3,51.63301433,4.260937491,171.9177065,1.128092619,NA,NA,110.9803144,62.33450348,,160,3,cavapl
120,cavapl,5,18,3,21.14671519,0.783301978,163.8077105,0.496497997,NA,NA,50.00771609,1.361905198,,160,3,cavapl
120,cavapl,9,18,4,19.36561067,0.709184453,192.1868524,0.231483281,4.636043276,NA,49.80814442,1.162333518,,160,3,cavapl
