sp,genus,species,family,grform,repsize,sppnumber,abun,X1,X2,WSG_AVG,MAXHEIGHT_AVG,SEED__DRY_MIX,LogAvAbun,X1new,X2new,fg1,fis,sil,fg5,fg13,fg20,fgall,splower,PC_slow_to_fast,PC_breeder_to_pioneer
CESPMA,Cespedesia,spathulata,Ochnaceae,T,30,46,25,0.442644263920002,-1.95329028399085,0.592180458,NA,1.44e-4,1.34992671694902,-0.442644263920002,1.95329028399085,1,2,3,2,12,4,46,cespma,0.442644263920002,1.95329028399085
CESTME,Cestrum,megalophyllum,Solanaceae,S,1,47,887,1.93811582126201,2.54199554095027,0.424325287,6.104,0.00962125,4.89249505179203,-1.93811582126201,-2.54199554095027,1,1,1,4,7,2,47,cestme,1.93811582126201,-2.54199554095027
CHA2SC,Chamguava,schippii,Myrtaceae,U,4,48,1459,-1.55438340351272,0.200630524265878,NA,12.685,NA,5.84437223164817,1.55438340351272,-0.200630524265878,1,3,2,3,9,20,48,cha2sc,-1.55438340351272,-0.200630524265878
CHIMPA,Chimarrhis,parviflora,Rubiaceae,T,30,49,19,0.906783569753246,-1.21154322603124,0.778364757,11.67793147,NA,1.145132304303,-0.906783569753246,1.21154322603124,1,2,3,2,12,17,49,chimpa,0.906783569753246,1.21154322603124
CHR1EC,Chrysochlamys,eclipes,Clusiaceae,S,2,50,1779,-2.53123687348655,0.524365303851258,0.506946157,7.572,0.100268,6.03171494972928,2.53123687348655,-0.524365303851258,1,3,2,3,9,15,50,chr1ec,-2.53123687348655,-0.524365303851258
CHR2AR,Chrysophyllum,argenteum,Sapotaceae,T,30,51,2370,-1.17236948274852,-0.274677542322819,0.736321431,23.20432493,0.07511,6.43592140443025,1.17236948274852,0.274677542322819,1,3,2,3,4,20,51,chr2ar,-1.17236948274852,0.274677542322819
CHR2CA,Chrysophyllum,cainito,Sapotaceae,T,30,52,665,-1.34983736338944,-0.543675364074115,0.776838438,33.82316423,0.12636825,4.78271846402938,1.34983736338944,0.543675364074115,1,3,2,3,4,20,52,chr2ca,-1.34983736338944,0.543675364074115
CLIDDE,Clidemia,dentata,Melastomataceae,S,1,53,74,3.43367878425692,4.17009806881917,0.638701299,2.61,2e-5,2.72691868540659,-3.43367878425692,-4.17009806881917,1,1,1,4,7,7,53,clidde,3.43367878425692,-4.17009806881917
CLIDOC,Clidemia,octona,Melastomataceae,S,1,54,48,3.67878814091612,4.04237051400231,NA,4.156,1e-5,2.11453286149111,-3.67878814091612,-4.04237051400231,1,1,1,4,7,7,54,clidoc,3.67878814091612,-4.04237051400231
COCCCO,Coccoloba,coronata,Polygonaceae,M,8,55,925,-2.27461865540898,0.291031514752484,0.788537241,12.66986292,NA,5.02575845567047,2.27461865540898,-0.291031514752484,1,3,2,3,9,15,55,coccco,-2.27461865540898,-0.291031514752484
COCCMA,Coccoloba,manzinellensis,Polygonaceae,U,10,56,1756,-3.20460712589,-0.119581886917603,0.716341182,9.248,0.01882,6.04025471127741,3.20460712589,0.119581886917603,1,3,2,3,10,3,56,coccma,-3.20460712589,0.119581886917603
COLUGL,Colubrina,glandulosa,Rhamnaceae,T,30,57,11,0.96779274922001,-0.881079827947273,0.644380492,28.78931377,NA,0.762140052046895,-0.96779274922001,0.881079827947273,1,2,2,2,2,17,57,colugl,0.96779274922001,0.881079827947273
CONOBR,Conostegia,bracteata,Melastomataceae,S,1,58,28,1.70383215356553,2.20508843098122,NA,3.55,NA,1.6094379124341,-1.70383215356553,-2.20508843098122,1,1,1,4,7,2,58,conobr,1.70383215356553,-2.20508843098122
CONOCI,Conostegia,cinnamomea,Melastomataceae,S,1,59,1249,0.808311315166392,2.83984328730457,0.606171815,3.211666667,NA,5.2634301075476,-0.808311315166392,-2.83984328730457,1,2,1,4,7,1,59,conoci,0.808311315166392,-2.83984328730457
